"user_id","signup_date","device_type","acquisition_channel","city_tier","age_group"
102,"2024-03-19","Android","Organic","Tier-1","35-44"
103,"2024-01-02","Android","Google Ads","Tier-2","18-24"
104,"2024-04-06","Android","Instagram","Tier-3","18-24"
105,"2024-04-06","Android","Instagram","Tier-1","25-34"
106,"2024-04-05","iOS","Instagram","Tier-2","45+"
107,"2024-03-06","Web","Instagram","Tier-1","45+"
108,"2024-02-29","Android","Google Ads","Tier-3","25-34"
109,"2024-05-13","Android","YouTube","Tier-1","25-34"
110,"2024-02-11","iOS","Organic","Tier-1","18-24"
111,"2024-03-12","Android","Organic","Tier-2","25-34"
112,"2024-04-11","Android","Google Ads","Tier-1","45+"
113,"2024-03-15","Android","Instagram","Tier-1","35-44"
114,"2024-01-14","Android","Organic","Tier-1","45+"
115,"2024-05-07","Web","Organic","Tier-3","35-44"
116,"2024-04-22","iOS","Instagram","Tier-3","35-44"
117,"2024-04-22","Web","Organic","Tier-2","25-34"
118,"2024-06-10","iOS","Organic","Tier-1","25-34"
119,"2024-05-31","iOS","Instagram","Tier-3","25-34"
120,"2024-04-30","iOS","Instagram","Tier-2","18-24"
121,"2024-03-12","Android","YouTube","Tier-3","45+"
122,"2024-06-20","Android","YouTube","Tier-3","35-44"
123,"2024-05-24","Web","Instagram","Tier-1","18-24"
124,"2024-03-28","Android","YouTube","Tier-2","35-44"
125,"2024-05-29","Android","Organic","Tier-1","18-24"
126,"2024-01-18","iOS","YouTube","Tier-3","18-24"
127,"2024-06-14","iOS","Google Ads","Tier-1","18-24"
128,"2024-02-23","Web","Organic","Tier-1","25-34"
129,"2024-06-07","Web","Instagram","Tier-1","18-24"
130,"2024-04-05","Android","Google Ads","Tier-2","35-44"
131,"2024-03-05","Android","YouTube","Tier-3","35-44"
132,"2024-04-07","iOS","Instagram","Tier-3","25-34"
133,"2024-04-21","Android","Organic","Tier-3","35-44"
134,"2024-04-08","Web","YouTube","Tier-1","18-24"
135,"2024-01-26","Web","Organic","Tier-3","25-34"
136,"2024-05-27","Web","YouTube","Tier-3","18-24"
137,"2024-04-18","iOS","YouTube","Tier-3","35-44"
138,"2024-06-23","Android","Instagram","Tier-2","25-34"
139,"2024-04-03","Android","Google Ads","Tier-3","25-34"
140,"2024-03-31","Android","Google Ads","Tier-1","45+"
141,"2024-03-24","Web","Google Ads","Tier-1","45+"
142,"2024-06-11","iOS","Organic","Tier-3","45+"
143,"2024-05-20","Android","YouTube","Tier-2","25-34"
144,"2024-03-01","Web","YouTube","Tier-3","45+"
145,"2024-05-02","Web","Instagram","Tier-2","18-24"
146,"2024-01-02","iOS","YouTube","Tier-3","18-24"
147,"2024-06-29","iOS","Instagram","Tier-2","25-34"
148,"2024-05-05","Web","Instagram","Tier-1","35-44"
149,"2024-04-30","Android","Google Ads","Tier-1","45+"
150,"2024-02-05","Web","Instagram","Tier-1","35-44"
151,"2024-05-04","Web","Google Ads","Tier-1","25-34"
152,"2024-05-24","Web","Google Ads","Tier-3","35-44"
153,"2024-04-30","iOS","Instagram","Tier-3","18-24"
154,"2024-06-02","iOS","YouTube","Tier-3","18-24"
155,"2024-02-24","iOS","Organic","Tier-1","45+"
156,"2024-01-13","Web","Google Ads","Tier-2","18-24"
157,"2024-02-12","Android","Google Ads","Tier-3","35-44"
158,"2024-05-17","Android","Google Ads","Tier-2","18-24"
159,"2024-01-07","iOS","Google Ads","Tier-2","25-34"
160,"2024-02-21","iOS","YouTube","Tier-2","45+"
161,"2024-02-19","Web","Instagram","Tier-3","35-44"
162,"2024-02-10","iOS","YouTube","Tier-3","35-44"
163,"2024-01-19","Web","Google Ads","Tier-2","45+"
164,"2024-03-11","Web","YouTube","Tier-3","35-44"
165,"2024-06-10","Android","Google Ads","Tier-3","35-44"
166,"2024-05-30","Android","YouTube","Tier-1","18-24"
167,"2024-06-26","iOS","YouTube","Tier-3","18-24"
168,"2024-05-23","Android","Instagram","Tier-2","45+"
169,"2024-01-08","iOS","Google Ads","Tier-3","45+"
170,"2024-01-20","iOS","Google Ads","Tier-1","35-44"
171,"2024-02-12","iOS","Instagram","Tier-1","35-44"
172,"2024-01-01","Android","Organic","Tier-3","18-24"
173,"2024-04-17","Android","YouTube","Tier-2","35-44"
174,"2024-02-22","iOS","YouTube","Tier-3","35-44"
175,"2024-01-12","iOS","Organic","Tier-1","35-44"
176,"2024-02-15","Android","Google Ads","Tier-1","45+"
177,"2024-06-10","iOS","Organic","Tier-3","35-44"
178,"2024-04-06","iOS","YouTube","Tier-2","45+"
179,"2024-05-08","iOS","Instagram","Tier-3","35-44"
180,"2024-03-27","iOS","YouTube","Tier-1","18-24"
181,"2024-03-05","Android","Google Ads","Tier-3","25-34"
182,"2024-01-23","Web","Organic","Tier-2","45+"
183,"2024-05-08","Web","Instagram","Tier-3","25-34"
184,"2024-04-11","Web","YouTube","Tier-1","45+"
185,"2024-02-24","Android","Organic","Tier-3","18-24"
186,"2024-04-17","Android","YouTube","Tier-2","25-34"
187,"2024-03-01","Web","Instagram","Tier-1","45+"
188,"2024-03-21","Android","Google Ads","Tier-1","45+"
189,"2024-04-28","iOS","Instagram","Tier-1","18-24"
190,"2024-05-23","Android","Organic","Tier-2","25-34"
191,"2024-03-20","Web","Google Ads","Tier-2","18-24"
192,"2024-01-11","Web","Google Ads","Tier-1","18-24"
193,"2024-04-17","Android","Google Ads","Tier-1","45+"
194,"2024-03-24","Android","YouTube","Tier-2","25-34"
195,"2024-01-16","Android","Instagram","Tier-3","25-34"
196,"2024-01-12","Android","YouTube","Tier-2","25-34"
197,"2024-05-18","Android","Organic","Tier-3","45+"
198,"2024-02-28","Web","Google Ads","Tier-2","25-34"
199,"2024-03-29","iOS","Organic","Tier-3","45+"
200,"2024-05-31","iOS","Organic","Tier-1","35-44"
201,"2024-05-10","Android","Instagram","Tier-1","35-44"
202,"2024-01-11","Web","Instagram","Tier-2","45+"
203,"2024-05-21","iOS","Google Ads","Tier-1","25-34"
204,"2024-04-01","Android","YouTube","Tier-2","35-44"
205,"2024-06-24","Android","YouTube","Tier-2","35-44"
206,"2024-02-20","Android","YouTube","Tier-2","18-24"
207,"2024-05-31","Android","Instagram","Tier-3","35-44"
208,"2024-01-23","Android","Organic","Tier-3","35-44"
209,"2024-06-11","Android","Organic","Tier-1","18-24"
210,"2024-01-22","Web","Organic","Tier-3","25-34"
211,"2024-05-12","Web","YouTube","Tier-2","35-44"
212,"2024-03-29","iOS","Google Ads","Tier-3","35-44"
213,"2024-06-17","Android","YouTube","Tier-3","25-34"
214,"2024-03-29","Android","Instagram","Tier-3","18-24"
215,"2024-06-07","iOS","YouTube","Tier-2","45+"
216,"2024-06-22","Web","Google Ads","Tier-2","25-34"
217,"2024-04-07","Android","Instagram","Tier-2","25-34"
218,"2024-03-16","Android","YouTube","Tier-2","35-44"
219,"2024-05-11","Web","YouTube","Tier-2","18-24"
220,"2024-06-28","Web","Organic","Tier-2","18-24"
221,"2024-02-22","Web","Google Ads","Tier-3","45+"
222,"2024-03-08","Web","Organic","Tier-2","18-24"
223,"2024-04-04","iOS","Instagram","Tier-3","45+"
224,"2024-05-19","iOS","Instagram","Tier-3","18-24"
225,"2024-02-12","iOS","Organic","Tier-1","18-24"
226,"2024-05-14","iOS","Organic","Tier-2","18-24"
227,"2024-03-28","Android","Instagram","Tier-1","25-34"
228,"2024-04-04","Android","Google Ads","Tier-2","18-24"
229,"2024-02-27","Android","YouTube","Tier-2","35-44"
230,"2024-02-13","iOS","Google Ads","Tier-3","45+"
231,"2024-03-29","Android","Instagram","Tier-1","45+"
232,"2024-04-28","iOS","Organic","Tier-1","18-24"
233,"2024-06-18","iOS","Instagram","Tier-2","25-34"
234,"2024-02-13","Android","Instagram","Tier-3","45+"
235,"2024-06-04","Android","Organic","Tier-3","18-24"
236,"2024-03-03","Android","Google Ads","Tier-3","35-44"
237,"2024-02-20","iOS","YouTube","Tier-1","18-24"
238,"2024-04-05","Android","Instagram","Tier-1","18-24"
239,"2024-01-14","iOS","YouTube","Tier-3","25-34"
240,"2024-02-25","Web","Google Ads","Tier-2","25-34"
241,"2024-05-21","iOS","Instagram","Tier-2","25-34"
242,"2024-05-08","iOS","Organic","Tier-3","35-44"
243,"2024-06-04","Android","Organic","Tier-1","25-34"
244,"2024-05-30","iOS","Instagram","Tier-3","18-24"
245,"2024-04-24","iOS","Google Ads","Tier-1","25-34"
246,"2024-02-09","Web","Google Ads","Tier-2","18-24"
247,"2024-05-11","iOS","Instagram","Tier-2","45+"
248,"2024-06-11","Web","Google Ads","Tier-2","18-24"
249,"2024-04-15","Web","Organic","Tier-3","45+"
250,"2024-06-24","Android","YouTube","Tier-1","25-34"
251,"2024-04-24","Android","Organic","Tier-1","18-24"
252,"2024-01-05","iOS","Instagram","Tier-3","25-34"
253,"2024-05-01","Android","Instagram","Tier-2","25-34"
254,"2024-03-22","iOS","Google Ads","Tier-2","25-34"
255,"2024-01-25","iOS","Google Ads","Tier-1","35-44"
256,"2024-03-08","iOS","Google Ads","Tier-3","18-24"
257,"2024-06-29","Android","Google Ads","Tier-3","18-24"
258,"2024-05-12","Android","Instagram","Tier-2","18-24"
259,"2024-05-01","Web","Instagram","Tier-3","18-24"
260,"2024-03-20","iOS","YouTube","Tier-2","35-44"
261,"2024-05-21","Android","Google Ads","Tier-1","18-24"
262,"2024-05-16","Web","Instagram","Tier-3","18-24"
263,"2024-03-29","Android","Organic","Tier-1","35-44"
264,"2024-03-07","Android","Google Ads","Tier-1","18-24"
265,"2024-01-31","Web","Google Ads","Tier-3","25-34"
266,"2024-01-12","iOS","Instagram","Tier-3","18-24"
267,"2024-03-17","Web","Google Ads","Tier-2","25-34"
268,"2024-04-09","iOS","Google Ads","Tier-3","25-34"
269,"2024-01-25","Android","Organic","Tier-3","35-44"
270,"2024-06-07","Android","Google Ads","Tier-2","45+"
271,"2024-03-29","Web","Google Ads","Tier-3","18-24"
272,"2024-04-09","Android","Google Ads","Tier-2","25-34"
273,"2024-01-13","Android","Organic","Tier-3","18-24"
274,"2024-02-22","Web","Instagram","Tier-2","35-44"
275,"2024-05-23","Android","Organic","Tier-3","18-24"
276,"2024-05-02","Android","YouTube","Tier-2","18-24"
277,"2024-01-08","iOS","YouTube","Tier-2","18-24"
278,"2024-05-04","Web","Organic","Tier-3","35-44"
279,"2024-06-12","iOS","Instagram","Tier-1","25-34"
280,"2024-04-16","Web","Organic","Tier-3","25-34"
281,"2024-04-11","iOS","Instagram","Tier-1","18-24"
282,"2024-01-22","iOS","Organic","Tier-1","25-34"
283,"2024-02-29","Web","Google Ads","Tier-3","25-34"
284,"2024-01-04","Android","YouTube","Tier-1","18-24"
285,"2024-05-25","Web","YouTube","Tier-3","35-44"
286,"2024-06-14","Android","Instagram","Tier-1","25-34"
287,"2024-01-25","Web","YouTube","Tier-3","25-34"
288,"2024-02-28","Android","Instagram","Tier-2","18-24"
289,"2024-01-28","iOS","Instagram","Tier-1","45+"
290,"2024-01-08","Web","YouTube","Tier-1","18-24"
291,"2024-02-16","Web","Instagram","Tier-3","35-44"
292,"2024-06-04","Android","Instagram","Tier-2","25-34"
293,"2024-03-05","iOS","Google Ads","Tier-2","18-24"
294,"2024-06-07","Android","Google Ads","Tier-2","35-44"
295,"2024-02-13","Android","YouTube","Tier-2","25-34"
296,"2024-02-27","Android","Instagram","Tier-1","25-34"
297,"2024-01-16","Android","Google Ads","Tier-1","18-24"
298,"2024-03-08","Android","Instagram","Tier-2","35-44"
299,"2024-04-13","iOS","YouTube","Tier-2","35-44"
300,"2024-01-24","iOS","YouTube","Tier-2","35-44"
301,"2024-05-20","Web","Organic","Tier-3","45+"
302,"2024-03-08","Web","YouTube","Tier-1","18-24"
303,"2024-03-18","Web","Instagram","Tier-2","35-44"
304,"2024-05-25","Android","Instagram","Tier-3","45+"
305,"2024-04-05","iOS","YouTube","Tier-1","45+"
306,"2024-05-06","Android","YouTube","Tier-1","25-34"
307,"2024-03-25","Android","Instagram","Tier-1","25-34"
308,"2024-02-04","iOS","Google Ads","Tier-2","35-44"
309,"2024-03-12","Web","Google Ads","Tier-2","45+"
310,"2024-04-26","Android","Organic","Tier-2","35-44"
311,"2024-01-11","Android","YouTube","Tier-2","18-24"
312,"2024-04-09","iOS","Google Ads","Tier-3","45+"
313,"2024-06-20","Web","Google Ads","Tier-2","25-34"
314,"2024-05-20","iOS","Organic","Tier-2","18-24"
315,"2024-02-05","Android","Instagram","Tier-3","18-24"
316,"2024-03-15","Android","YouTube","Tier-2","18-24"
317,"2024-02-06","iOS","YouTube","Tier-2","45+"
318,"2024-01-24","iOS","Google Ads","Tier-1","25-34"
319,"2024-03-31","Web","YouTube","Tier-3","18-24"
320,"2024-03-02","Android","Instagram","Tier-1","18-24"
321,"2024-05-27","Android","Google Ads","Tier-1","25-34"
322,"2024-03-17","Android","YouTube","Tier-2","35-44"
323,"2024-06-20","Android","Organic","Tier-2","25-34"
324,"2024-04-14","Android","YouTube","Tier-2","35-44"
325,"2024-05-06","Android","YouTube","Tier-2","45+"
326,"2024-05-29","Web","Google Ads","Tier-1","35-44"
327,"2024-06-28","Android","Instagram","Tier-1","18-24"
328,"2024-03-10","Android","Organic","Tier-3","25-34"
329,"2024-03-03","iOS","YouTube","Tier-3","18-24"
330,"2024-01-03","iOS","YouTube","Tier-1","25-34"
331,"2024-05-07","iOS","Instagram","Tier-3","25-34"
332,"2024-03-29","Android","Organic","Tier-3","25-34"
333,"2024-04-29","Android","YouTube","Tier-1","25-34"
334,"2024-05-12","iOS","Instagram","Tier-3","18-24"
335,"2024-05-07","Web","Instagram","Tier-3","45+"
336,"2024-01-13","Android","Google Ads","Tier-3","35-44"
337,"2024-05-29","Web","Instagram","Tier-1","18-24"
338,"2024-06-04","Web","Google Ads","Tier-2","35-44"
339,"2024-02-18","Web","Organic","Tier-1","18-24"
340,"2024-01-31","Web","Organic","Tier-2","45+"
341,"2024-01-14","Web","Google Ads","Tier-2","25-34"
342,"2024-02-04","iOS","YouTube","Tier-2","18-24"
343,"2024-03-27","Android","YouTube","Tier-1","25-34"
344,"2024-03-05","iOS","Google Ads","Tier-2","18-24"
345,"2024-01-04","Android","Google Ads","Tier-3","18-24"
346,"2024-05-19","iOS","Google Ads","Tier-1","35-44"
347,"2024-01-29","iOS","Organic","Tier-2","18-24"
348,"2024-06-19","Android","Organic","Tier-2","35-44"
349,"2024-05-03","Web","Organic","Tier-2","45+"
350,"2024-04-16","Web","Google Ads","Tier-2","18-24"
351,"2024-02-24","iOS","Instagram","Tier-3","45+"
352,"2024-01-16","Android","YouTube","Tier-2","25-34"
353,"2024-02-05","Android","Organic","Tier-1","25-34"
354,"2024-06-07","Android","Instagram","Tier-2","45+"
355,"2024-06-17","iOS","YouTube","Tier-1","18-24"
356,"2024-06-13","Web","Google Ads","Tier-1","45+"
357,"2024-05-17","Web","Instagram","Tier-2","35-44"
358,"2024-01-09","Web","Organic","Tier-3","18-24"
359,"2024-05-12","iOS","Google Ads","Tier-3","18-24"
360,"2024-05-24","Android","YouTube","Tier-3","25-34"
361,"2024-05-02","Web","Instagram","Tier-3","35-44"
362,"2024-03-19","Android","Google Ads","Tier-1","25-34"
363,"2024-01-01","iOS","Organic","Tier-1","45+"
364,"2024-05-21","Android","YouTube","Tier-3","35-44"
365,"2024-01-22","Android","Organic","Tier-3","45+"
366,"2024-02-27","Web","Google Ads","Tier-2","25-34"
367,"2024-02-02","Web","Organic","Tier-3","25-34"
368,"2024-04-24","Web","Organic","Tier-2","35-44"
369,"2024-01-25","Web","Google Ads","Tier-3","25-34"
370,"2024-03-17","iOS","YouTube","Tier-1","25-34"
371,"2024-03-05","iOS","Organic","Tier-1","25-34"
372,"2024-05-06","Android","Instagram","Tier-2","35-44"
373,"2024-06-25","iOS","Google Ads","Tier-1","35-44"
374,"2024-02-26","iOS","Instagram","Tier-1","18-24"
375,"2024-05-04","iOS","Instagram","Tier-3","45+"
376,"2024-05-04","iOS","YouTube","Tier-1","25-34"
377,"2024-02-28","Android","Instagram","Tier-2","18-24"
378,"2024-06-07","Web","Instagram","Tier-2","35-44"
379,"2024-02-17","Android","Organic","Tier-1","25-34"
380,"2024-06-18","iOS","Google Ads","Tier-1","18-24"
381,"2024-03-04","Web","Google Ads","Tier-3","45+"
382,"2024-05-13","Android","Google Ads","Tier-3","35-44"
383,"2024-06-10","iOS","YouTube","Tier-2","45+"
384,"2024-03-27","iOS","Instagram","Tier-1","18-24"
385,"2024-03-21","Android","YouTube","Tier-3","25-34"
386,"2024-04-20","Web","Google Ads","Tier-3","25-34"
387,"2024-02-06","Android","Google Ads","Tier-3","45+"
388,"2024-06-28","Android","Instagram","Tier-1","25-34"
389,"2024-04-03","Web","Google Ads","Tier-2","18-24"
390,"2024-01-26","iOS","Google Ads","Tier-2","25-34"
391,"2024-04-28","Android","Google Ads","Tier-3","18-24"
392,"2024-01-25","iOS","Instagram","Tier-3","18-24"
393,"2024-03-16","Android","Google Ads","Tier-1","25-34"
394,"2024-03-18","iOS","Google Ads","Tier-2","45+"
395,"2024-06-26","Android","Google Ads","Tier-3","25-34"
396,"2024-02-10","iOS","Instagram","Tier-1","25-34"
397,"2024-06-24","iOS","Instagram","Tier-1","18-24"
398,"2024-05-21","Android","Organic","Tier-1","45+"
399,"2024-01-31","Android","Organic","Tier-3","45+"
400,"2024-06-29","Android","Google Ads","Tier-3","18-24"
401,"2024-04-13","Web","Google Ads","Tier-1","18-24"
402,"2024-05-12","iOS","Google Ads","Tier-2","45+"
403,"2024-01-11","iOS","YouTube","Tier-2","18-24"
404,"2024-03-12","iOS","Google Ads","Tier-2","45+"
405,"2024-06-19","Android","Organic","Tier-2","35-44"
406,"2024-01-14","iOS","Instagram","Tier-1","25-34"
407,"2024-02-10","Android","Instagram","Tier-3","25-34"
408,"2024-03-18","Web","Instagram","Tier-1","45+"
409,"2024-05-17","iOS","Google Ads","Tier-2","25-34"
410,"2024-01-02","Android","Instagram","Tier-2","25-34"
411,"2024-05-27","iOS","Google Ads","Tier-2","25-34"
412,"2024-06-24","iOS","Instagram","Tier-1","35-44"
413,"2024-04-23","Web","Instagram","Tier-3","18-24"
414,"2024-02-02","Android","YouTube","Tier-2","18-24"
415,"2024-06-16","Android","YouTube","Tier-3","18-24"
416,"2024-02-10","Web","Google Ads","Tier-2","45+"
417,"2024-01-15","iOS","YouTube","Tier-1","25-34"
418,"2024-05-16","Web","Instagram","Tier-2","25-34"
419,"2024-02-02","Android","YouTube","Tier-1","35-44"
420,"2024-05-06","Android","YouTube","Tier-2","25-34"
421,"2024-03-22","iOS","Instagram","Tier-3","35-44"
422,"2024-04-30","Android","YouTube","Tier-2","35-44"
423,"2024-05-15","Android","YouTube","Tier-2","25-34"
424,"2024-01-30","iOS","Instagram","Tier-3","18-24"
425,"2024-06-12","Android","YouTube","Tier-3","35-44"
426,"2024-01-01","Android","Google Ads","Tier-3","45+"
427,"2024-04-04","Android","Instagram","Tier-3","45+"
428,"2024-03-23","Android","YouTube","Tier-2","35-44"
429,"2024-06-25","Android","YouTube","Tier-2","35-44"
430,"2024-04-30","Web","Organic","Tier-3","45+"
431,"2024-03-19","Web","Organic","Tier-1","18-24"
432,"2024-06-25","iOS","Instagram","Tier-1","45+"
433,"2024-03-14","Android","YouTube","Tier-2","18-24"
434,"2024-03-17","iOS","Google Ads","Tier-3","35-44"
435,"2024-05-23","Android","Google Ads","Tier-3","25-34"
436,"2024-05-28","iOS","Instagram","Tier-2","45+"
437,"2024-01-21","Android","Google Ads","Tier-2","18-24"
438,"2024-04-10","Android","Google Ads","Tier-1","25-34"
439,"2024-03-06","Web","Google Ads","Tier-2","25-34"
440,"2024-06-28","iOS","YouTube","Tier-1","45+"
441,"2024-06-25","iOS","Google Ads","Tier-3","35-44"
442,"2024-02-24","iOS","Instagram","Tier-1","25-34"
443,"2024-05-12","iOS","Instagram","Tier-3","18-24"
444,"2024-06-15","Web","Google Ads","Tier-1","18-24"
445,"2024-05-29","Web","Google Ads","Tier-3","35-44"
446,"2024-01-06","Web","YouTube","Tier-1","18-24"
447,"2024-04-27","Web","YouTube","Tier-3","35-44"
448,"2024-04-22","Android","Instagram","Tier-3","25-34"
449,"2024-03-17","Android","Organic","Tier-1","18-24"
450,"2024-06-01","iOS","Organic","Tier-2","25-34"
451,"2024-02-29","Android","YouTube","Tier-2","18-24"
452,"2024-03-11","Android","YouTube","Tier-2","18-24"
453,"2024-02-29","iOS","Instagram","Tier-2","18-24"
454,"2024-05-06","iOS","Organic","Tier-2","25-34"
455,"2024-01-21","Web","Instagram","Tier-1","25-34"
456,"2024-04-06","Web","YouTube","Tier-2","18-24"
457,"2024-02-14","Android","Google Ads","Tier-1","18-24"
458,"2024-01-16","iOS","Google Ads","Tier-1","25-34"
459,"2024-02-23","Web","YouTube","Tier-2","18-24"
460,"2024-06-09","iOS","Google Ads","Tier-2","18-24"
461,"2024-05-14","Web","Google Ads","Tier-3","25-34"
462,"2024-02-22","Android","Instagram","Tier-1","25-34"
463,"2024-05-23","Web","Instagram","Tier-3","35-44"
464,"2024-01-31","Android","YouTube","Tier-3","25-34"
465,"2024-02-12","Android","Google Ads","Tier-1","18-24"
466,"2024-05-02","iOS","Organic","Tier-1","25-34"
467,"2024-02-12","Web","Organic","Tier-3","18-24"
468,"2024-02-08","Android","Instagram","Tier-3","18-24"
469,"2024-04-16","iOS","Google Ads","Tier-2","45+"
470,"2024-05-01","Android","Instagram","Tier-3","25-34"
471,"2024-04-11","iOS","Organic","Tier-1","25-34"
472,"2024-05-31","Android","Instagram","Tier-1","18-24"
473,"2024-06-08","Web","Instagram","Tier-1","18-24"
474,"2024-03-26","iOS","Organic","Tier-3","45+"
475,"2024-01-25","iOS","Organic","Tier-3","35-44"
476,"2024-01-22","iOS","Organic","Tier-1","25-34"
