"subscription_id","user_id","plan_type","start_date","end_date","cancellation_reason","churn_flag"
255,2989,"Monthly_499","2024-03-25","2024-05-15","Too Expensive",1
256,2315,"Annual_3999","2024-06-05","2024-06-16","Found Better App",1
257,1249,"Quarterly_1299","2024-03-12","2024-05-29","Hard to Cancel",1
258,2708,"Monthly_499","2024-02-10","","",0
259,1833,"Annual_3999","2024-06-21","","",0
260,1031,"Monthly_499","2024-02-10","","",0
261,1204,"Annual_3999","2024-05-29","2024-08-12","Not Using App",1
262,1082,"Monthly_499","2024-04-01","","",0
263,913,"Quarterly_1299","2024-02-29","2024-03-21","Not Using App",1
264,291,"Monthly_499","2024-03-08","","",0
265,205,"Monthly_499","2024-01-12","","",0
266,1593,"Monthly_499","2024-04-06","","",0
267,1591,"Monthly_499","2024-03-14","2024-05-28","Found Better App",1
268,1319,"Monthly_499","2024-02-17","2024-03-12","Too Expensive",1
269,936,"Monthly_499","2024-01-10","2024-02-16","Too Expensive",1
270,1563,"Annual_3999","2024-05-03","2024-06-21","Not Using App",1
271,1858,"Monthly_499","2024-04-26","","",0
272,1101,"Quarterly_1299","2024-01-29","","",0
273,2021,"Quarterly_1299","2024-04-06","","",0
274,729,"Quarterly_1299","2024-02-24","2024-05-06","Found Better App",1
275,2226,"Monthly_499","2024-02-16","","",0
276,2066,"Monthly_499","2024-05-06","2024-05-19","Hard to Cancel",1
277,2649,"Monthly_499","2024-03-15","","",0
278,2190,"Monthly_499","2024-02-21","2024-05-07","Too Expensive",1
279,2091,"Quarterly_1299","2024-05-19","2024-06-15","Too Expensive",1
280,1036,"Monthly_499","2024-06-15","2024-08-15","Found Better App",1
281,216,"Quarterly_1299","2024-03-06","","",0
282,2331,"Monthly_499","2024-01-25","","",0
283,1989,"Monthly_499","2024-02-21","","",0
284,1271,"Monthly_499","2024-01-13","2024-03-11","Not Using App",1
285,2563,"Quarterly_1299","2024-04-30","","",0
286,2718,"Monthly_499","2024-01-01","2024-02-17","Found Better App",1
287,1023,"Monthly_499","2024-06-02","","",0
288,2736,"Monthly_499","2024-01-07","2024-01-30","Not Using App",1
289,374,"Annual_3999","2024-01-11","2024-01-25","Too Expensive",1
290,2946,"Monthly_499","2024-02-08","","",0
291,1703,"Quarterly_1299","2024-06-06","","",0
292,182,"Monthly_499","2024-04-02","2024-06-13","Not Using App",1
293,1016,"Monthly_499","2024-03-29","2024-06-16","Hard to Cancel",1
294,2219,"Monthly_499","2024-02-22","2024-05-13","Not Using App",1
295,2703,"Monthly_499","2024-06-20","2024-08-11","Too Expensive",1
296,2609,"Quarterly_1299","2024-02-17","","",0
297,1431,"Quarterly_1299","2024-02-13","2024-03-02","Too Expensive",1
298,692,"Monthly_499","2024-02-09","2024-04-12","Too Expensive",1
299,2948,"Quarterly_1299","2024-02-28","","",0
300,2889,"Monthly_499","2024-04-22","2024-06-21","Hard to Cancel",1
301,2719,"Monthly_499","2024-03-23","2024-05-17","Hard to Cancel",1
302,2012,"Quarterly_1299","2024-06-17","","",0
303,700,"Quarterly_1299","2024-06-05","2024-08-12","Hard to Cancel",1
304,728,"Monthly_499","2024-06-21","2024-08-29","Too Expensive",1
305,1977,"Quarterly_1299","2024-04-11","2024-04-24","Too Expensive",1
306,567,"Monthly_499","2024-06-22","2024-08-23","Hard to Cancel",1
307,1088,"Monthly_499","2024-03-16","","",0
308,2250,"Monthly_499","2024-03-31","","",0
309,2487,"Monthly_499","2024-01-03","","",0
310,1813,"Monthly_499","2024-03-15","","",0
311,126,"Quarterly_1299","2024-03-06","","",0
312,1220,"Quarterly_1299","2024-02-02","","",0
313,229,"Monthly_499","2024-06-17","2024-07-13","Hard to Cancel",1
314,559,"Quarterly_1299","2024-03-22","2024-04-19","Found Better App",1
315,814,"Monthly_499","2024-03-09","2024-06-06","Too Expensive",1
316,696,"Monthly_499","2024-03-18","","",0
317,1085,"Annual_3999","2024-06-28","2024-07-28","Hard to Cancel",1
318,2909,"Monthly_499","2024-03-15","2024-04-04","Hard to Cancel",1
319,168,"Annual_3999","2024-01-04","2024-01-17","Not Using App",1
320,1728,"Monthly_499","2024-02-15","","",0
321,2203,"Monthly_499","2024-01-17","","",0
322,486,"Quarterly_1299","2024-06-04","2024-06-18","Not Using App",1
323,2140,"Monthly_499","2024-02-13","2024-04-04","Found Better App",1
324,1283,"Monthly_499","2024-01-27","","",0
325,1799,"Monthly_499","2024-04-25","2024-05-06","Found Better App",1
326,2452,"Monthly_499","2024-01-30","","",0
327,2175,"Monthly_499","2024-04-03","2024-05-17","Too Expensive",1
328,1012,"Monthly_499","2024-01-22","2024-04-02","Too Expensive",1
329,1452,"Monthly_499","2024-03-03","2024-05-22","Too Expensive",1
330,707,"Monthly_499","2024-01-10","2024-02-24","Too Expensive",1
331,1229,"Quarterly_1299","2024-01-01","","",0
332,1199,"Monthly_499","2024-01-24","","",0
333,2545,"Monthly_499","2024-05-12","2024-07-08","Not Using App",1
334,710,"Monthly_499","2024-05-19","2024-07-15","Not Using App",1
335,2823,"Monthly_499","2024-03-27","2024-04-17","Too Expensive",1
336,1823,"Monthly_499","2024-02-10","","",0
337,451,"Monthly_499","2024-02-29","","",0
338,906,"Monthly_499","2024-04-15","2024-05-23","Found Better App",1
339,2006,"Monthly_499","2024-04-01","2024-06-29","Too Expensive",1
340,685,"Monthly_499","2024-02-07","2024-04-04","Not Using App",1
341,298,"Monthly_499","2024-05-19","2024-07-25","Hard to Cancel",1
342,1844,"Monthly_499","2024-04-20","2024-06-12","Found Better App",1
343,1037,"Quarterly_1299","2024-05-15","2024-06-10","Hard to Cancel",1
344,1681,"Quarterly_1299","2024-01-18","","",0
345,1043,"Monthly_499","2024-03-26","2024-06-14","Found Better App",1
346,2515,"Monthly_499","2024-04-01","2024-06-18","Too Expensive",1
347,120,"Monthly_499","2024-04-25","2024-07-18","Hard to Cancel",1
348,457,"Monthly_499","2024-04-16","","",0
349,2155,"Monthly_499","2024-05-06","","",0
350,2959,"Quarterly_1299","2024-01-24","2024-02-13","Not Using App",1
351,1310,"Monthly_499","2024-03-26","","",0
352,644,"Monthly_499","2024-03-19","2024-04-17","Hard to Cancel",1
353,2206,"Quarterly_1299","2024-03-14","","",0
354,2462,"Monthly_499","2024-04-09","","",0
355,2651,"Monthly_499","2024-02-04","","",0
356,1661,"Annual_3999","2024-01-21","2024-02-27","Hard to Cancel",1
357,865,"Monthly_499","2024-02-15","2024-02-25","Too Expensive",1
358,1861,"Quarterly_1299","2024-01-20","2024-02-21","Too Expensive",1
359,765,"Monthly_499","2024-04-21","","",0
360,1558,"Monthly_499","2024-04-06","","",0
361,1344,"Monthly_499","2024-03-07","2024-04-29","Not Using App",1
362,2593,"Monthly_499","2024-05-27","2024-07-19","Not Using App",1
363,2880,"Monthly_499","2024-04-25","","",0
364,1271,"Monthly_499","2024-01-17","","",0
365,1667,"Annual_3999","2024-06-16","2024-07-17","Hard to Cancel",1
366,1067,"Monthly_499","2024-01-17","","",0
367,374,"Annual_3999","2024-04-28","2024-07-21","Hard to Cancel",1
368,1571,"Quarterly_1299","2024-03-19","","",0
369,2637,"Monthly_499","2024-01-31","","",0
370,74,"Quarterly_1299","2024-04-06","2024-05-05","Hard to Cancel",1
371,930,"Quarterly_1299","2024-04-03","","",0
372,1163,"Monthly_499","2024-06-21","2024-09-07","Found Better App",1
373,2462,"Annual_3999","2024-03-27","2024-04-10","Not Using App",1
374,2342,"Monthly_499","2024-04-06","2024-05-15","Too Expensive",1
375,2790,"Monthly_499","2024-05-30","","",0
376,2198,"Monthly_499","2024-04-09","2024-06-28","Hard to Cancel",1
377,2247,"Monthly_499","2024-04-02","2024-05-02","Hard to Cancel",1
378,294,"Monthly_499","2024-06-23","","",0
379,13,"Monthly_499","2024-06-08","2024-07-31","Too Expensive",1
380,2422,"Monthly_499","2024-06-23","2024-08-12","Hard to Cancel",1
381,2547,"Quarterly_1299","2024-01-06","","",0
382,220,"Quarterly_1299","2024-03-15","","",0
383,1077,"Monthly_499","2024-06-04","","",0
384,557,"Monthly_499","2024-02-05","2024-04-03","Too Expensive",1
385,1912,"Quarterly_1299","2024-02-25","","",0
386,845,"Quarterly_1299","2024-05-06","2024-08-01","Hard to Cancel",1
387,1395,"Monthly_499","2024-04-01","2024-04-22","Hard to Cancel",1
388,1710,"Monthly_499","2024-04-28","","",0
389,1603,"Monthly_499","2024-01-26","2024-02-11","Too Expensive",1
390,2080,"Monthly_499","2024-06-11","2024-08-11","Hard to Cancel",1
391,1559,"Monthly_499","2024-02-28","","",0
392,1907,"Monthly_499","2024-01-14","2024-04-04","Too Expensive",1
393,2417,"Monthly_499","2024-01-27","2024-03-28","Found Better App",1
394,1300,"Monthly_499","2024-04-09","","",0
395,1288,"Monthly_499","2024-03-31","2024-04-18","Found Better App",1
396,721,"Monthly_499","2024-03-23","2024-05-07","Found Better App",1
397,1526,"Quarterly_1299","2024-04-23","2024-05-21","Hard to Cancel",1
398,2203,"Annual_3999","2024-02-09","","",0
399,1492,"Monthly_499","2024-06-24","","",0
400,217,"Monthly_499","2024-06-11","2024-07-30","Hard to Cancel",1
401,2745,"Annual_3999","2024-01-26","2024-04-14","Too Expensive",1
402,2505,"Monthly_499","2024-02-27","","",0
403,489,"Monthly_499","2024-03-05","","",0
404,627,"Monthly_499","2024-05-21","2024-07-09","Hard to Cancel",1
405,2669,"Monthly_499","2024-04-22","2024-05-11","Not Using App",1
406,1143,"Monthly_499","2024-04-30","","",0
407,14,"Monthly_499","2024-02-23","2024-05-01","Too Expensive",1
408,2212,"Monthly_499","2024-04-05","","",0
409,1298,"Monthly_499","2024-04-07","2024-06-06","Hard to Cancel",1
410,1057,"Monthly_499","2024-04-22","","",0
411,2247,"Quarterly_1299","2024-04-19","2024-05-20","Found Better App",1
412,224,"Annual_3999","2024-03-20","2024-05-16","Too Expensive",1
413,2194,"Monthly_499","2024-01-26","2024-04-14","Hard to Cancel",1
414,355,"Monthly_499","2024-01-27","","",0
415,858,"Annual_3999","2024-06-23","","",0
416,1409,"Monthly_499","2024-05-16","","",0
417,2608,"Monthly_499","2024-04-09","2024-04-26","Hard to Cancel",1
418,1314,"Monthly_499","2024-05-16","2024-07-21","Hard to Cancel",1
419,813,"Quarterly_1299","2024-06-16","2024-06-27","Hard to Cancel",1
420,2827,"Quarterly_1299","2024-01-22","2024-02-20","Not Using App",1
421,1802,"Monthly_499","2024-01-02","2024-01-26","Too Expensive",1
422,735,"Monthly_499","2024-01-28","","",0
423,1366,"Monthly_499","2024-01-26","2024-02-25","Not Using App",1
424,2373,"Quarterly_1299","2024-03-17","","",0
425,614,"Monthly_499","2024-04-08","","",0
426,351,"Monthly_499","2024-06-17","","",0
427,1644,"Quarterly_1299","2024-05-03","","",0
428,1236,"Monthly_499","2024-06-03","","",0
429,2560,"Annual_3999","2024-03-31","2024-05-01","Too Expensive",1
430,1547,"Monthly_499","2024-04-17","2024-05-22","Too Expensive",1
431,1145,"Monthly_499","2024-06-11","","",0
432,2706,"Monthly_499","2024-04-12","","",0
433,1236,"Quarterly_1299","2024-02-01","","",0
434,552,"Annual_3999","2024-01-15","2024-03-22","Too Expensive",1
435,2785,"Monthly_499","2024-03-11","","",0
436,1740,"Quarterly_1299","2024-01-14","","",0
437,1962,"Quarterly_1299","2024-04-09","2024-05-13","Too Expensive",1
438,2150,"Quarterly_1299","2024-06-28","2024-09-22","Too Expensive",1
439,2759,"Quarterly_1299","2024-06-15","","",0
440,1987,"Monthly_499","2024-01-01","2024-03-04","Found Better App",1
441,971,"Monthly_499","2024-01-06","","",0
442,974,"Quarterly_1299","2024-02-28","2024-03-20","Hard to Cancel",1
443,2901,"Monthly_499","2024-04-18","2024-05-13","Found Better App",1
444,2409,"Monthly_499","2024-03-09","2024-04-06","Hard to Cancel",1
445,2823,"Quarterly_1299","2024-02-27","","",0
446,1050,"Quarterly_1299","2024-06-18","2024-08-28","Found Better App",1
447,2992,"Monthly_499","2024-03-13","","",0
448,805,"Annual_3999","2024-05-16","","",0
449,489,"Monthly_499","2024-06-22","","",0
450,444,"Monthly_499","2024-06-15","","",0
451,1386,"Monthly_499","2024-03-07","2024-04-21","Not Using App",1
452,1054,"Quarterly_1299","2024-04-08","","",0
453,2283,"Monthly_499","2024-04-04","2024-05-25","Hard to Cancel",1
454,2552,"Monthly_499","2024-03-14","2024-05-05","Hard to Cancel",1
455,1930,"Monthly_499","2024-01-16","2024-03-06","Found Better App",1
456,308,"Monthly_499","2024-05-15","","",0
457,1742,"Monthly_499","2024-06-20","2024-09-04","Too Expensive",1
458,2135,"Monthly_499","2024-04-25","2024-07-05","Too Expensive",1
459,264,"Quarterly_1299","2024-03-13","","",0
