"session_id","user_id","session_date","screen_name","funnel_stage","time_spent_seconds","action_taken"
46,1646,"2024-05-04","Payment",4,198,"clicked"
47,2224,"2024-05-17","Plan Selection",3,134,"clicked"
48,2994,"2024-06-06","Pricing Page",2,42,"clicked"
49,2771,"2024-04-19","Pricing Page",2,51,"dropped"
50,2502,"2024-06-09","Confirmation",5,204,"converted"
51,258,"2024-04-02","Pricing Page",2,66,"viewed"
52,1971,"2024-04-11","Payment",4,106,"viewed"
53,348,"2024-06-01","Payment",4,164,"clicked"
54,355,"2024-05-11","Pricing Page",2,45,"dropped"
55,790,"2024-01-19","Plan Selection",3,67,"clicked"
56,1533,"2024-05-12","Home",1,104,"viewed"
57,1055,"2024-06-11","Pricing Page",2,52,"dropped"
58,432,"2024-03-05","Pricing Page",2,51,"clicked"
59,1682,"2024-01-30","Home",1,34,"clicked"
60,2726,"2024-05-20","Home",1,94,"viewed"
61,41,"2024-01-19","Pricing Page",2,31,"viewed"
62,897,"2024-05-24","Home",1,27,"dropped"
63,1365,"2024-06-02","Payment",4,165,"clicked"
64,407,"2024-05-24","Plan Selection",3,121,"dropped"
65,1167,"2024-06-13","Pricing Page",2,42,"dropped"
66,1383,"2024-04-14","Plan Selection",3,174,"clicked"
67,1345,"2024-03-29","Home",1,17,"viewed"
68,825,"2024-05-14","Confirmation",5,65,"converted"
69,2056,"2024-04-16","Confirmation",5,144,"converted"
70,2068,"2024-03-19","Home",1,59,"viewed"
71,2245,"2024-01-10","Home",1,185,"clicked"
72,801,"2024-02-04","Home",1,46,"clicked"
73,2246,"2024-03-07","Plan Selection",3,173,"clicked"
74,746,"2024-02-10","Pricing Page",2,34,"clicked"
75,1758,"2024-01-25","Confirmation",5,38,"converted"
76,2953,"2024-03-30","Plan Selection",3,39,"dropped"
77,940,"2024-01-21","Plan Selection",3,175,"dropped"
78,2024,"2024-05-03","Pricing Page",2,63,"dropped"
79,2557,"2024-01-07","Plan Selection",3,11,"dropped"
80,2445,"2024-04-13","Pricing Page",2,48,"dropped"
81,2392,"2024-02-15","Payment",4,115,"dropped"
82,2260,"2024-04-12","Plan Selection",3,45,"dropped"
83,819,"2024-06-08","Plan Selection",3,66,"viewed"
84,1355,"2024-02-20","Home",1,76,"clicked"
85,2421,"2024-03-04","Pricing Page",2,49,"dropped"
86,1100,"2024-01-05","Home",1,15,"dropped"
87,896,"2024-02-18","Pricing Page",2,40,"clicked"
88,1357,"2024-05-14","Pricing Page",2,53,"dropped"
89,947,"2024-06-01","Pricing Page",2,62,"dropped"
90,2024,"2024-05-10","Plan Selection",3,163,"dropped"
91,119,"2024-06-29","Payment",4,79,"dropped"
92,1833,"2024-04-30","Pricing Page",2,51,"clicked"
93,1550,"2024-02-18","Payment",4,37,"clicked"
94,527,"2024-06-16","Home",1,163,"clicked"
95,772,"2024-05-15","Confirmation",5,130,"converted"
96,336,"2024-05-15","Pricing Page",2,60,"dropped"
97,1822,"2024-02-26","Payment",4,171,"viewed"
98,1564,"2024-02-13","Plan Selection",3,94,"dropped"
99,2737,"2024-06-02","Plan Selection",3,14,"clicked"
100,2452,"2024-03-04","Pricing Page",2,43,"dropped"
101,1822,"2024-06-01","Pricing Page",2,49,"clicked"
102,2876,"2024-02-25","Plan Selection",3,72,"viewed"
103,619,"2024-01-27","Home",1,25,"dropped"
104,583,"2024-05-09","Confirmation",5,164,"converted"
105,2771,"2024-02-23","Plan Selection",3,134,"dropped"
106,590,"2024-06-19","Home",1,164,"clicked"
107,639,"2024-04-08","Home",1,166,"viewed"
108,2986,"2024-06-24","Payment",4,79,"dropped"
109,2832,"2024-01-23","Payment",4,118,"clicked"
110,676,"2024-01-03","Pricing Page",2,56,"dropped"
111,2377,"2024-01-16","Home",1,204,"viewed"
112,2056,"2024-02-18","Pricing Page",2,48,"dropped"
113,902,"2024-05-26","Home",1,81,"clicked"
114,1455,"2024-03-29","Confirmation",5,111,"converted"
115,1652,"2024-02-11","Pricing Page",2,54,"clicked"
116,554,"2024-03-07","Pricing Page",2,39,"clicked"
117,1878,"2024-06-28","Home",1,96,"viewed"
118,812,"2024-04-21","Pricing Page",2,51,"dropped"
119,69,"2024-05-04","Pricing Page",2,63,"dropped"
120,2739,"2024-02-22","Plan Selection",3,143,"dropped"
121,301,"2024-05-31","Confirmation",5,192,"converted"
122,2722,"2024-05-24","Pricing Page",2,66,"viewed"
123,247,"2024-03-18","Confirmation",5,59,"converted"
124,1514,"2024-05-22","Pricing Page",2,59,"dropped"
125,1925,"2024-01-23","Plan Selection",3,25,"clicked"
126,1195,"2024-01-02","Payment",4,56,"viewed"
127,1045,"2024-06-14","Plan Selection",3,178,"viewed"
128,2305,"2024-06-05","Home",1,120,"viewed"
129,1965,"2024-02-22","Pricing Page",2,47,"dropped"
130,488,"2024-05-05","Confirmation",5,176,"converted"
131,641,"2024-04-13","Pricing Page",2,48,"dropped"
132,1616,"2024-03-02","Home",1,79,"clicked"
133,1622,"2024-01-28","Home",1,68,"dropped"
134,640,"2024-01-02","Pricing Page",2,58,"clicked"
135,456,"2024-06-19","Pricing Page",2,51,"dropped"
136,276,"2024-06-28","Plan Selection",3,98,"dropped"
137,1384,"2024-05-31","Payment",4,100,"viewed"
138,234,"2024-05-11","Pricing Page",2,63,"dropped"
139,2124,"2024-03-08","Payment",4,131,"viewed"
140,534,"2024-03-29","Confirmation",5,27,"converted"
141,2103,"2024-02-14","Home",1,185,"dropped"
142,1318,"2024-01-29","Pricing Page",2,55,"viewed"
143,1638,"2024-02-22","Payment",4,50,"clicked"
144,667,"2024-03-15","Pricing Page",2,61,"clicked"
145,419,"2024-04-19","Plan Selection",3,54,"clicked"
146,2381,"2024-01-17","Home",1,23,"dropped"
147,1448,"2024-01-01","Plan Selection",3,168,"clicked"
148,127,"2024-03-06","Plan Selection",3,64,"clicked"
149,2948,"2024-05-29","Home",1,107,"viewed"
150,2359,"2024-03-10","Plan Selection",3,141,"viewed"
151,144,"2024-03-18","Confirmation",5,139,"converted"
152,827,"2024-03-20","Pricing Page",2,54,"dropped"
153,823,"2024-04-25","Pricing Page",2,65,"dropped"
154,1385,"2024-01-01","Plan Selection",3,32,"viewed"
155,246,"2024-03-06","Plan Selection",3,154,"viewed"
156,1553,"2024-05-19","Pricing Page",2,45,"dropped"
157,2032,"2024-04-07","Plan Selection",3,157,"viewed"
158,325,"2024-04-10","Pricing Page",2,53,"dropped"
159,412,"2024-04-26","Payment",4,37,"clicked"
160,2537,"2024-03-25","Payment",4,135,"viewed"
161,2140,"2024-03-14","Confirmation",5,63,"converted"
162,1909,"2024-03-10","Home",1,190,"clicked"
163,2044,"2024-06-25","Payment",4,53,"clicked"
164,1042,"2024-06-18","Plan Selection",3,91,"dropped"
165,925,"2024-02-10","Home",1,66,"viewed"
166,1023,"2024-02-04","Confirmation",5,36,"converted"
167,2490,"2024-05-16","Pricing Page",2,43,"dropped"
168,1634,"2024-05-02","Payment",4,161,"clicked"
169,778,"2024-05-21","Home",1,65,"dropped"
170,710,"2024-01-26","Home",1,125,"viewed"
171,1951,"2024-04-23","Home",1,11,"clicked"
172,1504,"2024-06-28","Pricing Page",2,47,"dropped"
173,927,"2024-05-18","Confirmation",5,56,"converted"
174,1349,"2024-04-08","Pricing Page",2,45,"dropped"
175,2782,"2024-02-10","Pricing Page",2,59,"viewed"
176,1839,"2024-03-01","Payment",4,39,"clicked"
177,2461,"2024-03-02","Pricing Page",2,35,"dropped"
178,2025,"2024-04-21","Home",1,88,"viewed"
179,2709,"2024-01-13","Plan Selection",3,202,"viewed"
180,2050,"2024-05-01","Pricing Page",2,54,"clicked"
181,1245,"2024-04-24","Confirmation",5,152,"converted"
182,2416,"2024-06-08","Confirmation",5,70,"converted"
183,1628,"2024-05-26","Pricing Page",2,56,"viewed"
184,2108,"2024-05-16","Plan Selection",3,30,"clicked"
185,419,"2024-02-11","Payment",4,202,"viewed"
186,794,"2024-03-18","Pricing Page",2,50,"dropped"
187,308,"2024-02-24","Home",1,17,"viewed"
188,2970,"2024-01-17","Pricing Page",2,34,"dropped"
189,599,"2024-06-28","Pricing Page",2,62,"dropped"
190,2176,"2024-04-01","Pricing Page",2,46,"dropped"
191,187,"2024-01-26","Plan Selection",3,41,"dropped"
192,2123,"2024-05-30","Home",1,143,"dropped"
193,663,"2024-03-07","Home",1,167,"clicked"
194,2004,"2024-01-22","Plan Selection",3,131,"dropped"
195,1276,"2024-03-10","Plan Selection",3,12,"dropped"
196,2497,"2024-04-25","Plan Selection",3,111,"clicked"
197,2799,"2024-02-04","Home",1,44,"clicked"
198,1796,"2024-05-10","Payment",4,186,"viewed"
199,847,"2024-03-22","Pricing Page",2,59,"dropped"
200,2431,"2024-06-02","Payment",4,116,"dropped"
201,1318,"2024-04-14","Plan Selection",3,29,"viewed"
202,2060,"2024-01-08","Home",1,136,"viewed"
203,1990,"2024-02-01","Confirmation",5,197,"converted"
204,16,"2024-02-08","Home",1,137,"dropped"
205,603,"2024-06-18","Home",1,119,"clicked"
206,22,"2024-03-21","Pricing Page",2,58,"clicked"
207,2084,"2024-02-15","Home",1,42,"clicked"
208,2432,"2024-02-19","Confirmation",5,180,"converted"
209,1379,"2024-05-13","Pricing Page",2,49,"viewed"
210,1998,"2024-03-19","Home",1,129,"clicked"
211,1285,"2024-05-26","Payment",4,83,"clicked"
212,2046,"2024-05-14","Plan Selection",3,26,"clicked"
213,2705,"2024-02-09","Pricing Page",2,37,"dropped"
214,6,"2024-04-07","Plan Selection",3,174,"dropped"
215,2296,"2024-05-04","Home",1,137,"viewed"
216,2873,"2024-03-24","Pricing Page",2,62,"clicked"
217,1608,"2024-02-18","Payment",4,190,"clicked"
218,2063,"2024-04-19","Confirmation",5,204,"converted"
219,2972,"2024-01-07","Pricing Page",2,58,"dropped"
220,1893,"2024-06-07","Pricing Page",2,61,"dropped"
221,2108,"2024-02-26","Pricing Page",2,39,"dropped"
222,2741,"2024-01-15","Plan Selection",3,16,"dropped"
223,2587,"2024-05-13","Home",1,78,"clicked"
224,2458,"2024-06-28","Pricing Page",2,53,"dropped"
225,2059,"2024-02-26","Pricing Page",2,45,"dropped"
226,524,"2024-03-17","Plan Selection",3,150,"viewed"
227,1656,"2024-04-11","Home",1,29,"dropped"
228,2267,"2024-05-16","Pricing Page",2,44,"dropped"
229,941,"2024-05-23","Home",1,157,"viewed"
230,2746,"2024-05-05","Payment",4,126,"viewed"
231,2328,"2024-05-18","Plan Selection",3,60,"viewed"
232,2687,"2024-02-21","Payment",4,178,"dropped"
233,1444,"2024-03-12","Plan Selection",3,114,"viewed"
234,918,"2024-04-20","Home",1,172,"viewed"
235,2918,"2024-05-27","Home",1,76,"dropped"
236,10,"2024-03-15","Home",1,20,"dropped"
237,954,"2024-02-24","Plan Selection",3,178,"clicked"
238,796,"2024-04-28","Pricing Page",2,50,"clicked"
239,272,"2024-03-20","Confirmation",5,81,"converted"
240,2937,"2024-05-28","Home",1,84,"clicked"
241,2164,"2024-03-31","Pricing Page",2,43,"viewed"
242,2759,"2024-06-15","Payment",4,108,"viewed"
243,44,"2024-03-10","Payment",4,47,"clicked"
244,438,"2024-05-07","Home",1,61,"dropped"
245,1707,"2024-04-25","Pricing Page",2,54,"dropped"
246,1487,"2024-05-26","Plan Selection",3,83,"dropped"
247,2105,"2024-01-05","Home",1,14,"dropped"
248,616,"2024-06-05","Plan Selection",3,187,"clicked"
249,416,"2024-04-20","Plan Selection",3,73,"viewed"
250,1640,"2024-04-24","Plan Selection",3,156,"dropped"
251,783,"2024-01-05","Pricing Page",2,48,"dropped"
252,2247,"2024-03-06","Plan Selection",3,150,"viewed"
253,266,"2024-06-16","Pricing Page",2,39,"dropped"
254,1207,"2024-05-06","Pricing Page",2,48,"viewed"
255,1541,"2024-05-27","Plan Selection",3,52,"clicked"
256,2078,"2024-01-13","Pricing Page",2,32,"clicked"
257,2286,"2024-01-05","Payment",4,28,"viewed"
258,1742,"2024-06-27","Home",1,196,"dropped"
259,2593,"2024-06-16","Home",1,83,"viewed"
260,2103,"2024-02-09","Confirmation",5,72,"converted"
261,1719,"2024-06-17","Confirmation",5,192,"converted"
262,2210,"2024-06-20","Plan Selection",3,163,"clicked"
263,133,"2024-03-16","Confirmation",5,104,"converted"
264,1609,"2024-02-17","Plan Selection",3,146,"clicked"
265,1858,"2024-01-18","Plan Selection",3,176,"clicked"
266,2808,"2024-05-28","Pricing Page",2,38,"dropped"
267,2357,"2024-03-20","Payment",4,192,"dropped"
268,977,"2024-04-17","Confirmation",5,45,"converted"
269,2708,"2024-06-27","Pricing Page",2,43,"dropped"
270,954,"2024-01-18","Plan Selection",3,77,"dropped"
271,1532,"2024-02-13","Plan Selection",3,147,"clicked"
272,2628,"2024-02-09","Pricing Page",2,48,"viewed"
273,38,"2024-05-10","Plan Selection",3,149,"viewed"
274,2322,"2024-04-08","Pricing Page",2,50,"viewed"
275,314,"2024-06-11","Home",1,54,"clicked"
276,387,"2024-06-23","Pricing Page",2,47,"dropped"
277,1547,"2024-05-03","Payment",4,53,"clicked"
278,171,"2024-04-28","Home",1,118,"clicked"
279,1314,"2024-06-20","Pricing Page",2,46,"dropped"
280,2576,"2024-06-06","Payment",4,50,"viewed"
281,260,"2024-02-08","Payment",4,83,"clicked"
282,304,"2024-02-02","Plan Selection",3,101,"clicked"
283,104,"2024-05-12","Plan Selection",3,126,"dropped"
284,1362,"2024-04-09","Pricing Page",2,47,"dropped"
285,454,"2024-03-29","Confirmation",5,96,"converted"
286,673,"2024-05-29","Pricing Page",2,62,"clicked"
287,2859,"2024-05-12","Payment",4,183,"viewed"
288,2668,"2024-05-15","Home",1,37,"clicked"
289,2544,"2024-06-09","Confirmation",5,162,"converted"
290,474,"2024-04-01","Home",1,156,"clicked"
291,1163,"2024-03-10","Payment",4,144,"dropped"
292,923,"2024-03-03","Payment",4,195,"clicked"
293,1749,"2024-01-17","Plan Selection",3,60,"dropped"
294,2960,"2024-03-28","Pricing Page",2,64,"dropped"
295,1169,"2024-06-16","Pricing Page",2,53,"dropped"
296,1942,"2024-03-31","Plan Selection",3,76,"viewed"
297,2516,"2024-02-21","Confirmation",5,157,"converted"
298,2759,"2024-03-11","Home",1,171,"clicked"
299,2572,"2024-06-14","Home",1,65,"clicked"
300,46,"2024-06-24","Payment",4,29,"dropped"
301,369,"2024-03-07","Pricing Page",2,36,"clicked"
302,1984,"2024-03-01","Plan Selection",3,95,"dropped"
303,327,"2024-02-26","Pricing Page",2,35,"dropped"
304,2201,"2024-06-10","Pricing Page",2,57,"dropped"
305,1258,"2024-04-30","Home",1,74,"clicked"
306,422,"2024-03-20","Payment",4,117,"clicked"
307,691,"2024-01-09","Plan Selection",3,133,"clicked"
308,992,"2024-03-02","Plan Selection",3,113,"clicked"
309,2280,"2024-03-15","Payment",4,149,"dropped"
310,1731,"2024-03-27","Plan Selection",3,182,"clicked"
311,318,"2024-04-02","Pricing Page",2,57,"dropped"
312,2549,"2024-04-10","Pricing Page",2,53,"viewed"
313,198,"2024-04-06","Pricing Page",2,60,"dropped"
314,1642,"2024-04-27","Plan Selection",3,22,"clicked"
315,979,"2024-01-23","Plan Selection",3,178,"clicked"
316,2730,"2024-05-04","Plan Selection",3,94,"dropped"
317,2704,"2024-03-13","Pricing Page",2,39,"clicked"
318,990,"2024-05-04","Pricing Page",2,43,"dropped"
319,965,"2024-06-08","Pricing Page",2,55,"dropped"
320,57,"2024-03-21","Home",1,111,"dropped"
321,1988,"2024-02-06","Home",1,99,"dropped"
322,2246,"2024-01-16","Home",1,131,"clicked"
323,2401,"2024-03-18","Payment",4,87,"viewed"
324,1469,"2024-02-16","Payment",4,82,"clicked"
325,1688,"2024-05-28","Pricing Page",2,56,"viewed"
326,1661,"2024-01-19","Payment",4,208,"clicked"
327,2620,"2024-02-17","Plan Selection",3,134,"dropped"
328,1411,"2024-01-28","Pricing Page",2,37,"dropped"
329,1179,"2024-02-20","Pricing Page",2,37,"clicked"
330,887,"2024-04-26","Pricing Page",2,60,"clicked"
331,1780,"2024-04-26","Pricing Page",2,47,"dropped"
332,2789,"2024-01-27","Confirmation",5,63,"converted"
333,1517,"2024-05-12","Home",1,108,"dropped"
334,2323,"2024-05-10","Pricing Page",2,45,"dropped"
335,854,"2024-02-06","Home",1,32,"dropped"
336,953,"2024-02-05","Home",1,125,"viewed"
337,495,"2024-03-29","Confirmation",5,64,"converted"
338,1576,"2024-05-25","Pricing Page",2,62,"clicked"
339,1352,"2024-06-11","Home",1,199,"clicked"
340,2706,"2024-03-25","Plan Selection",3,157,"viewed"
341,2535,"2024-05-22","Pricing Page",2,57,"dropped"
342,467,"2024-05-11","Home",1,132,"clicked"
343,254,"2024-05-01","Home",1,113,"clicked"
344,2479,"2024-02-24","Home",1,48,"viewed"
345,2988,"2024-02-12","Home",1,43,"clicked"
346,326,"2024-04-13","Plan Selection",3,12,"clicked"
347,233,"2024-01-22","Pricing Page",2,42,"dropped"
348,2603,"2024-02-18","Payment",4,182,"dropped"
349,2867,"2024-03-23","Pricing Page",2,58,"dropped"
350,2039,"2024-06-26","Payment",4,84,"clicked"
351,888,"2024-04-23","Pricing Page",2,49,"dropped"
352,1242,"2024-05-16","Plan Selection",3,75,"dropped"
353,1439,"2024-01-22","Home",1,92,"clicked"
354,2267,"2024-06-26","Plan Selection",3,67,"clicked"
355,1951,"2024-05-13","Payment",4,116,"clicked"
356,1415,"2024-01-21","Home",1,101,"viewed"
357,1954,"2024-06-01","Pricing Page",2,60,"dropped"
358,2899,"2024-05-01","Pricing Page",2,47,"dropped"
359,55,"2024-04-01","Pricing Page",2,62,"clicked"
360,2959,"2024-06-06","Pricing Page",2,47,"dropped"
361,207,"2024-01-27","Plan Selection",3,41,"dropped"
362,2069,"2024-05-15","Plan Selection",3,44,"viewed"
363,1652,"2024-02-25","Confirmation",5,116,"converted"
364,2934,"2024-02-24","Plan Selection",3,191,"viewed"
365,1717,"2024-02-21","Plan Selection",3,135,"dropped"
366,1172,"2024-05-22","Payment",4,107,"dropped"
367,371,"2024-02-18","Confirmation",5,25,"converted"
368,1396,"2024-01-16","Home",1,198,"clicked"
369,336,"2024-05-24","Plan Selection",3,180,"clicked"
370,170,"2024-02-26","Pricing Page",2,59,"viewed"
371,2941,"2024-04-06","Payment",4,18,"dropped"
372,131,"2024-01-20","Pricing Page",2,53,"clicked"
373,2348,"2024-01-08","Payment",4,53,"clicked"
374,2125,"2024-01-24","Plan Selection",3,49,"clicked"
375,1878,"2024-05-24","Home",1,33,"clicked"
376,136,"2024-03-11","Payment",4,189,"dropped"
377,1677,"2024-04-26","Plan Selection",3,157,"dropped"
378,729,"2024-06-19","Confirmation",5,20,"converted"
379,987,"2024-03-30","Pricing Page",2,65,"dropped"
380,2349,"2024-04-21","Payment",4,161,"viewed"
381,2697,"2024-04-16","Pricing Page",2,51,"dropped"
382,1003,"2024-01-10","Pricing Page",2,34,"dropped"
383,1663,"2024-05-16","Home",1,54,"viewed"
384,1264,"2024-04-28","Home",1,34,"clicked"
385,1389,"2024-04-20","Plan Selection",3,113,"clicked"
386,857,"2024-05-11","Payment",4,158,"clicked"
387,1660,"2024-05-06","Payment",4,19,"viewed"
388,1845,"2024-05-28","Pricing Page",2,63,"dropped"
389,1410,"2024-01-30","Pricing Page",2,47,"clicked"
390,1822,"2024-01-04","Pricing Page",2,40,"viewed"
391,1908,"2024-03-04","Payment",4,46,"clicked"
392,1055,"2024-04-21","Home",1,59,"dropped"
393,535,"2024-03-02","Home",1,161,"clicked"
394,966,"2024-04-28","Pricing Page",2,56,"dropped"
395,1909,"2024-06-12","Plan Selection",3,87,"dropped"
396,566,"2024-05-12","Home",1,71,"dropped"
397,703,"2024-03-27","Plan Selection",3,11,"viewed"
398,2428,"2024-01-28","Pricing Page",2,34,"viewed"
399,1967,"2024-05-24","Home",1,162,"viewed"
400,986,"2024-03-25","Pricing Page",2,49,"clicked"
401,189,"2024-05-22","Payment",4,85,"viewed"
402,376,"2024-04-30","Confirmation",5,170,"converted"
403,419,"2024-02-21","Confirmation",5,37,"converted"
404,2100,"2024-01-16","Pricing Page",2,40,"viewed"
405,2641,"2024-01-08","Plan Selection",3,160,"dropped"
406,2802,"2024-04-09","Confirmation",5,36,"converted"
407,2387,"2024-04-14","Pricing Page",2,60,"dropped"
408,29,"2024-02-23","Pricing Page",2,41,"clicked"
409,2405,"2024-02-09","Plan Selection",3,166,"viewed"
410,2732,"2024-06-29","Pricing Page",2,46,"clicked"
411,698,"2024-02-29","Confirmation",5,165,"converted"
412,75,"2024-05-23","Confirmation",5,25,"converted"
413,2139,"2024-03-01","Plan Selection",3,133,"clicked"
414,2351,"2024-03-01","Pricing Page",2,46,"viewed"
415,1255,"2024-04-28","Home",1,35,"clicked"
416,1649,"2024-06-27","Pricing Page",2,51,"dropped"
417,2022,"2024-01-29","Payment",4,71,"clicked"
418,1338,"2024-03-14","Plan Selection",3,70,"clicked"
419,288,"2024-02-19","Home",1,132,"viewed"
420,530,"2024-03-26","Payment",4,157,"dropped"
421,2428,"2024-03-18","Plan Selection",3,66,"clicked"
422,1582,"2024-05-26","Pricing Page",2,65,"dropped"
423,318,"2024-01-04","Payment",4,167,"viewed"
424,2361,"2024-01-09","Payment",4,56,"clicked"
425,99,"2024-04-04","Plan Selection",3,10,"clicked"
426,953,"2024-02-05","Home",1,116,"clicked"
427,1178,"2024-01-30","Plan Selection",3,160,"viewed"
428,2522,"2024-05-14","Home",1,146,"viewed"
429,865,"2024-06-01","Pricing Page",2,43,"viewed"
430,2551,"2024-04-21","Plan Selection",3,171,"clicked"
431,2409,"2024-05-02","Confirmation",5,187,"converted"
432,1471,"2024-05-21","Pricing Page",2,64,"dropped"
433,44,"2024-04-27","Home",1,11,"clicked"
434,1059,"2024-03-01","Plan Selection",3,29,"viewed"
435,2473,"2024-02-15","Payment",4,45,"clicked"
436,395,"2024-01-11","Confirmation",5,66,"converted"
437,2235,"2024-06-06","Home",1,16,"viewed"
438,2176,"2024-03-01","Plan Selection",3,111,"dropped"
439,1788,"2024-06-13","Payment",4,26,"dropped"
440,1239,"2024-04-30","Home",1,93,"viewed"
441,2918,"2024-02-29","Plan Selection",3,126,"viewed"
442,475,"2024-03-21","Payment",4,95,"viewed"
443,298,"2024-06-06","Home",1,131,"viewed"
444,2326,"2024-01-21","Pricing Page",2,55,"clicked"
445,462,"2024-01-27","Pricing Page",2,56,"clicked"
446,2004,"2024-02-29","Plan Selection",3,56,"dropped"
447,1485,"2024-05-16","Pricing Page",2,43,"viewed"
448,1197,"2024-01-10","Home",1,48,"viewed"
449,603,"2024-05-12","Home",1,39,"clicked"
450,682,"2024-04-06","Confirmation",5,64,"converted"
451,1352,"2024-03-18","Payment",4,152,"dropped"
452,1897,"2024-05-07","Plan Selection",3,202,"viewed"
453,2920,"2024-06-20","Payment",4,64,"viewed"
454,1791,"2024-03-02","Confirmation",5,112,"converted"
455,2553,"2024-05-08","Home",1,190,"clicked"
456,2098,"2024-01-10","Home",1,155,"dropped"
457,957,"2024-02-23","Plan Selection",3,146,"viewed"
458,995,"2024-01-06","Home",1,143,"viewed"
459,1242,"2024-03-17","Payment",4,16,"clicked"
460,2505,"2024-03-16","Plan Selection",3,131,"clicked"
461,2544,"2024-02-12","Plan Selection",3,92,"dropped"
462,2236,"2024-01-25","Pricing Page",2,54,"clicked"
463,483,"2024-04-27","Payment",4,188,"dropped"
464,274,"2024-06-29","Plan Selection",3,118,"clicked"
465,962,"2024-05-31","Pricing Page",2,55,"dropped"
466,1289,"2024-03-22","Confirmation",5,109,"converted"
467,1752,"2024-03-17","Pricing Page",2,53,"dropped"
468,2167,"2024-02-20","Pricing Page",2,37,"clicked"
469,809,"2024-04-06","Payment",4,157,"dropped"
470,549,"2024-05-02","Payment",4,44,"clicked"
471,568,"2024-06-15","Home",1,94,"viewed"
472,2148,"2024-04-17","Payment",4,63,"viewed"
473,2372,"2024-02-04","Plan Selection",3,89,"dropped"
474,2488,"2024-04-06","Home",1,57,"viewed"
475,2333,"2024-05-22","Plan Selection",3,152,"viewed"
476,1208,"2024-06-10","Pricing Page",2,55,"dropped"
477,2361,"2024-04-25","Payment",4,57,"viewed"
478,2251,"2024-05-02","Home",1,127,"clicked"
479,208,"2024-04-27","Home",1,56,"dropped"
480,1723,"2024-05-08","Payment",4,203,"clicked"
481,90,"2024-06-27","Payment",4,66,"viewed"
482,1423,"2024-05-20","Pricing Page",2,38,"clicked"
483,469,"2024-06-06","Confirmation",5,178,"converted"
484,1622,"2024-02-01","Pricing Page",2,50,"clicked"
485,1956,"2024-01-03","Home",1,126,"clicked"
486,2886,"2024-02-02","Home",1,117,"viewed"
487,1698,"2024-06-16","Confirmation",5,179,"converted"
488,1421,"2024-05-28","Plan Selection",3,192,"clicked"
489,2918,"2024-02-12","Pricing Page",2,48,"dropped"
490,1272,"2024-03-08","Plan Selection",3,169,"dropped"
491,2381,"2024-02-16","Confirmation",5,167,"converted"
492,603,"2024-04-26","Plan Selection",3,27,"viewed"
493,2773,"2024-05-07","Payment",4,140,"dropped"
494,222,"2024-03-03","Plan Selection",3,118,"dropped"
495,575,"2024-03-25","Payment",4,80,"clicked"
