session_id,user_id,session_date,screen_name,funnel_stage,time_spent_seconds,action_taken,month,month_name,session_period
86,1100,2024-01-05,Home,1,15,dropped,1,Jan,Pre-Update
87,896,2024-02-18,Pricing Page,2,40,clicked,2,Feb,Pre-Update
88,1357,2024-05-14,Pricing Page,2,53,dropped,5,May,Post-Update
89,947,2024-06-01,Pricing Page,2,62,dropped,6,Jun,Post-Update
90,2024,2024-05-10,Plan Selection,3,163,dropped,5,May,Post-Update
91,119,2024-06-29,Payment,4,79,dropped,6,Jun,Post-Update
92,1833,2024-04-30,Pricing Page,2,51,clicked,4,Apr,Post-Update
93,1550,2024-02-18,Payment,4,37,clicked,2,Feb,Pre-Update
94,527,2024-06-16,Home,1,163,clicked,6,Jun,Post-Update
95,772,2024-05-15,Confirmation,5,130,converted,5,May,Post-Update
96,336,2024-05-15,Pricing Page,2,60,dropped,5,May,Post-Update
97,1822,2024-02-26,Payment,4,171,viewed,2,Feb,Pre-Update
98,1564,2024-02-13,Plan Selection,3,94,dropped,2,Feb,Pre-Update
99,2737,2024-06-02,Plan Selection,3,14,clicked,6,Jun,Post-Update
100,2452,2024-03-04,Pricing Page,2,43,dropped,3,Mar,Pre-Update
101,1822,2024-06-01,Pricing Page,2,49,clicked,6,Jun,Post-Update
102,2876,2024-02-25,Plan Selection,3,72,viewed,2,Feb,Pre-Update
103,619,2024-01-27,Home,1,25,dropped,1,Jan,Pre-Update
104,583,2024-05-09,Confirmation,5,164,converted,5,May,Post-Update
105,2771,2024-02-23,Plan Selection,3,134,dropped,2,Feb,Pre-Update
106,590,2024-06-19,Home,1,164,clicked,6,Jun,Post-Update
107,639,2024-04-08,Home,1,166,viewed,4,Apr,Post-Update
108,2986,2024-06-24,Payment,4,79,dropped,6,Jun,Post-Update
109,2832,2024-01-23,Payment,4,118,clicked,1,Jan,Pre-Update
110,676,2024-01-03,Pricing Page,2,56,dropped,1,Jan,Pre-Update
111,2377,2024-01-16,Home,1,204,viewed,1,Jan,Pre-Update
112,2056,2024-02-18,Pricing Page,2,48,dropped,2,Feb,Pre-Update
113,902,2024-05-26,Home,1,81,clicked,5,May,Post-Update
114,1455,2024-03-29,Confirmation,5,111,converted,3,Mar,Post-Update
115,1652,2024-02-11,Pricing Page,2,54,clicked,2,Feb,Pre-Update
116,554,2024-03-07,Pricing Page,2,39,clicked,3,Mar,Pre-Update
117,1878,2024-06-28,Home,1,96,viewed,6,Jun,Post-Update
118,812,2024-04-21,Pricing Page,2,51,dropped,4,Apr,Post-Update
119,69,2024-05-04,Pricing Page,2,63,dropped,5,May,Post-Update
120,2739,2024-02-22,Plan Selection,3,143,dropped,2,Feb,Pre-Update
121,301,2024-05-31,Confirmation,5,192,converted,5,May,Post-Update
122,2722,2024-05-24,Pricing Page,2,66,viewed,5,May,Post-Update
123,247,2024-03-18,Confirmation,5,59,converted,3,Mar,Post-Update
124,1514,2024-05-22,Pricing Page,2,59,dropped,5,May,Post-Update
125,1925,2024-01-23,Plan Selection,3,25,clicked,1,Jan,Pre-Update
126,1195,2024-01-02,Payment,4,56,viewed,1,Jan,Pre-Update
127,1045,2024-06-14,Plan Selection,3,178,viewed,6,Jun,Post-Update
128,2305,2024-06-05,Home,1,120,viewed,6,Jun,Post-Update
129,1965,2024-02-22,Pricing Page,2,47,dropped,2,Feb,Pre-Update
130,488,2024-05-05,Confirmation,5,176,converted,5,May,Post-Update
131,641,2024-04-13,Pricing Page,2,48,dropped,4,Apr,Post-Update
132,1616,2024-03-02,Home,1,79,clicked,3,Mar,Pre-Update
133,1622,2024-01-28,Home,1,68,dropped,1,Jan,Pre-Update
134,640,2024-01-02,Pricing Page,2,58,clicked,1,Jan,Pre-Update
135,456,2024-06-19,Pricing Page,2,51,dropped,6,Jun,Post-Update
136,276,2024-06-28,Plan Selection,3,98,dropped,6,Jun,Post-Update
137,1384,2024-05-31,Payment,4,100,viewed,5,May,Post-Update
138,234,2024-05-11,Pricing Page,2,63,dropped,5,May,Post-Update
139,2124,2024-03-08,Payment,4,131,viewed,3,Mar,Pre-Update
140,534,2024-03-29,Confirmation,5,27,converted,3,Mar,Post-Update
141,2103,2024-02-14,Home,1,185,dropped,2,Feb,Pre-Update
142,1318,2024-01-29,Pricing Page,2,55,viewed,1,Jan,Pre-Update
143,1638,2024-02-22,Payment,4,50,clicked,2,Feb,Pre-Update
144,667,2024-03-15,Pricing Page,2,61,clicked,3,Mar,Post-Update
145,419,2024-04-19,Plan Selection,3,54,clicked,4,Apr,Post-Update
146,2381,2024-01-17,Home,1,23,dropped,1,Jan,Pre-Update
147,1448,2024-01-01,Plan Selection,3,168,clicked,1,Jan,Pre-Update
148,127,2024-03-06,Plan Selection,3,64,clicked,3,Mar,Pre-Update
149,2948,2024-05-29,Home,1,107,viewed,5,May,Post-Update
150,2359,2024-03-10,Plan Selection,3,141,viewed,3,Mar,Pre-Update
151,144,2024-03-18,Confirmation,5,139,converted,3,Mar,Post-Update
152,827,2024-03-20,Pricing Page,2,54,dropped,3,Mar,Post-Update
153,823,2024-04-25,Pricing Page,2,65,dropped,4,Apr,Post-Update
154,1385,2024-01-01,Plan Selection,3,32,viewed,1,Jan,Pre-Update
155,246,2024-03-06,Plan Selection,3,154,viewed,3,Mar,Pre-Update
156,1553,2024-05-19,Pricing Page,2,45,dropped,5,May,Post-Update
157,2032,2024-04-07,Plan Selection,3,157,viewed,4,Apr,Post-Update
158,325,2024-04-10,Pricing Page,2,53,dropped,4,Apr,Post-Update
159,412,2024-04-26,Payment,4,37,clicked,4,Apr,Post-Update
160,2537,2024-03-25,Payment,4,135,viewed,3,Mar,Post-Update
161,2140,2024-03-14,Confirmation,5,63,converted,3,Mar,Pre-Update
162,1909,2024-03-10,Home,1,190,clicked,3,Mar,Pre-Update
163,2044,2024-06-25,Payment,4,53,clicked,6,Jun,Post-Update
164,1042,2024-06-18,Plan Selection,3,91,dropped,6,Jun,Post-Update
165,925,2024-02-10,Home,1,66,viewed,2,Feb,Pre-Update
166,1023,2024-02-04,Confirmation,5,36,converted,2,Feb,Pre-Update
167,2490,2024-05-16,Pricing Page,2,43,dropped,5,May,Post-Update
168,1634,2024-05-02,Payment,4,161,clicked,5,May,Post-Update
169,778,2024-05-21,Home,1,65,dropped,5,May,Post-Update
170,710,2024-01-26,Home,1,125,viewed,1,Jan,Pre-Update
171,1951,2024-04-23,Home,1,11,clicked,4,Apr,Post-Update
172,1504,2024-06-28,Pricing Page,2,47,dropped,6,Jun,Post-Update
173,927,2024-05-18,Confirmation,5,56,converted,5,May,Post-Update
174,1349,2024-04-08,Pricing Page,2,45,dropped,4,Apr,Post-Update
175,2782,2024-02-10,Pricing Page,2,59,viewed,2,Feb,Pre-Update
176,1839,2024-03-01,Payment,4,39,clicked,3,Mar,Pre-Update
177,2461,2024-03-02,Pricing Page,2,35,dropped,3,Mar,Pre-Update
178,2025,2024-04-21,Home,1,88,viewed,4,Apr,Post-Update
179,2709,2024-01-13,Plan Selection,3,202,viewed,1,Jan,Pre-Update
180,2050,2024-05-01,Pricing Page,2,54,clicked,5,May,Post-Update
181,1245,2024-04-24,Confirmation,5,152,converted,4,Apr,Post-Update
182,2416,2024-06-08,Confirmation,5,70,converted,6,Jun,Post-Update
183,1628,2024-05-26,Pricing Page,2,56,viewed,5,May,Post-Update
184,2108,2024-05-16,Plan Selection,3,30,clicked,5,May,Post-Update
185,419,2024-02-11,Payment,4,202,viewed,2,Feb,Pre-Update
186,794,2024-03-18,Pricing Page,2,50,dropped,3,Mar,Post-Update
187,308,2024-02-24,Home,1,17,viewed,2,Feb,Pre-Update
188,2970,2024-01-17,Pricing Page,2,34,dropped,1,Jan,Pre-Update
189,599,2024-06-28,Pricing Page,2,62,dropped,6,Jun,Post-Update
190,2176,2024-04-01,Pricing Page,2,46,dropped,4,Apr,Post-Update
191,187,2024-01-26,Plan Selection,3,41,dropped,1,Jan,Pre-Update
192,2123,2024-05-30,Home,1,143,dropped,5,May,Post-Update
193,663,2024-03-07,Home,1,167,clicked,3,Mar,Pre-Update
194,2004,2024-01-22,Plan Selection,3,131,dropped,1,Jan,Pre-Update
195,1276,2024-03-10,Plan Selection,3,12,dropped,3,Mar,Pre-Update
196,2497,2024-04-25,Plan Selection,3,111,clicked,4,Apr,Post-Update
197,2799,2024-02-04,Home,1,44,clicked,2,Feb,Pre-Update
198,1796,2024-05-10,Payment,4,186,viewed,5,May,Post-Update
199,847,2024-03-22,Pricing Page,2,59,dropped,3,Mar,Post-Update
200,2431,2024-06-02,Payment,4,116,dropped,6,Jun,Post-Update
201,1318,2024-04-14,Plan Selection,3,29,viewed,4,Apr,Post-Update
202,2060,2024-01-08,Home,1,136,viewed,1,Jan,Pre-Update
203,1990,2024-02-01,Confirmation,5,197,converted,2,Feb,Pre-Update
204,16,2024-02-08,Home,1,137,dropped,2,Feb,Pre-Update
205,603,2024-06-18,Home,1,119,clicked,6,Jun,Post-Update
206,22,2024-03-21,Pricing Page,2,58,clicked,3,Mar,Post-Update
207,2084,2024-02-15,Home,1,42,clicked,2,Feb,Pre-Update
208,2432,2024-02-19,Confirmation,5,180,converted,2,Feb,Pre-Update
209,1379,2024-05-13,Pricing Page,2,49,viewed,5,May,Post-Update
210,1998,2024-03-19,Home,1,129,clicked,3,Mar,Post-Update
211,1285,2024-05-26,Payment,4,83,clicked,5,May,Post-Update
212,2046,2024-05-14,Plan Selection,3,26,clicked,5,May,Post-Update
213,2705,2024-02-09,Pricing Page,2,37,dropped,2,Feb,Pre-Update
214,6,2024-04-07,Plan Selection,3,174,dropped,4,Apr,Post-Update
215,2296,2024-05-04,Home,1,137,viewed,5,May,Post-Update
216,2873,2024-03-24,Pricing Page,2,62,clicked,3,Mar,Post-Update
217,1608,2024-02-18,Payment,4,190,clicked,2,Feb,Pre-Update
218,2063,2024-04-19,Confirmation,5,204,converted,4,Apr,Post-Update
219,2972,2024-01-07,Pricing Page,2,58,dropped,1,Jan,Pre-Update
220,1893,2024-06-07,Pricing Page,2,61,dropped,6,Jun,Post-Update
221,2108,2024-02-26,Pricing Page,2,39,dropped,2,Feb,Pre-Update
222,2741,2024-01-15,Plan Selection,3,16,dropped,1,Jan,Pre-Update
223,2587,2024-05-13,Home,1,78,clicked,5,May,Post-Update
224,2458,2024-06-28,Pricing Page,2,53,dropped,6,Jun,Post-Update
225,2059,2024-02-26,Pricing Page,2,45,dropped,2,Feb,Pre-Update
226,524,2024-03-17,Plan Selection,3,150,viewed,3,Mar,Post-Update
227,1656,2024-04-11,Home,1,29,dropped,4,Apr,Post-Update
228,2267,2024-05-16,Pricing Page,2,44,dropped,5,May,Post-Update
229,941,2024-05-23,Home,1,157,viewed,5,May,Post-Update
230,2746,2024-05-05,Payment,4,126,viewed,5,May,Post-Update
231,2328,2024-05-18,Plan Selection,3,60,viewed,5,May,Post-Update
232,2687,2024-02-21,Payment,4,178,dropped,2,Feb,Pre-Update
233,1444,2024-03-12,Plan Selection,3,114,viewed,3,Mar,Pre-Update
234,918,2024-04-20,Home,1,172,viewed,4,Apr,Post-Update
235,2918,2024-05-27,Home,1,76,dropped,5,May,Post-Update
236,10,2024-03-15,Home,1,20,dropped,3,Mar,Post-Update
237,954,2024-02-24,Plan Selection,3,178,clicked,2,Feb,Pre-Update
238,796,2024-04-28,Pricing Page,2,50,clicked,4,Apr,Post-Update
239,272,2024-03-20,Confirmation,5,81,converted,3,Mar,Post-Update
240,2937,2024-05-28,Home,1,84,clicked,5,May,Post-Update
241,2164,2024-03-31,Pricing Page,2,43,viewed,3,Mar,Post-Update
242,2759,2024-06-15,Payment,4,108,viewed,6,Jun,Post-Update
243,44,2024-03-10,Payment,4,47,clicked,3,Mar,Pre-Update
244,438,2024-05-07,Home,1,61,dropped,5,May,Post-Update
245,1707,2024-04-25,Pricing Page,2,54,dropped,4,Apr,Post-Update
246,1487,2024-05-26,Plan Selection,3,83,dropped,5,May,Post-Update
247,2105,2024-01-05,Home,1,14,dropped,1,Jan,Pre-Update
248,616,2024-06-05,Plan Selection,3,187,clicked,6,Jun,Post-Update
249,416,2024-04-20,Plan Selection,3,73,viewed,4,Apr,Post-Update
250,1640,2024-04-24,Plan Selection,3,156,dropped,4,Apr,Post-Update
251,783,2024-01-05,Pricing Page,2,48,dropped,1,Jan,Pre-Update
252,2247,2024-03-06,Plan Selection,3,150,viewed,3,Mar,Pre-Update
253,266,2024-06-16,Pricing Page,2,39,dropped,6,Jun,Post-Update
254,1207,2024-05-06,Pricing Page,2,48,viewed,5,May,Post-Update
255,1541,2024-05-27,Plan Selection,3,52,clicked,5,May,Post-Update
256,2078,2024-01-13,Pricing Page,2,32,clicked,1,Jan,Pre-Update
257,2286,2024-01-05,Payment,4,28,viewed,1,Jan,Pre-Update
258,1742,2024-06-27,Home,1,196,dropped,6,Jun,Post-Update
259,2593,2024-06-16,Home,1,83,viewed,6,Jun,Post-Update
260,2103,2024-02-09,Confirmation,5,72,converted,2,Feb,Pre-Update
261,1719,2024-06-17,Confirmation,5,192,converted,6,Jun,Post-Update
262,2210,2024-06-20,Plan Selection,3,163,clicked,6,Jun,Post-Update
263,133,2024-03-16,Confirmation,5,104,converted,3,Mar,Post-Update
264,1609,2024-02-17,Plan Selection,3,146,clicked,2,Feb,Pre-Update
265,1858,2024-01-18,Plan Selection,3,176,clicked,1,Jan,Pre-Update
266,2808,2024-05-28,Pricing Page,2,38,dropped,5,May,Post-Update
267,2357,2024-03-20,Payment,4,192,dropped,3,Mar,Post-Update
268,977,2024-04-17,Confirmation,5,45,converted,4,Apr,Post-Update
269,2708,2024-06-27,Pricing Page,2,43,dropped,6,Jun,Post-Update
270,954,2024-01-18,Plan Selection,3,77,dropped,1,Jan,Pre-Update
271,1532,2024-02-13,Plan Selection,3,147,clicked,2,Feb,Pre-Update
272,2628,2024-02-09,Pricing Page,2,48,viewed,2,Feb,Pre-Update
273,38,2024-05-10,Plan Selection,3,149,viewed,5,May,Post-Update
274,2322,2024-04-08,Pricing Page,2,50,viewed,4,Apr,Post-Update
275,314,2024-06-11,Home,1,54,clicked,6,Jun,Post-Update
276,387,2024-06-23,Pricing Page,2,47,dropped,6,Jun,Post-Update
277,1547,2024-05-03,Payment,4,53,clicked,5,May,Post-Update
278,171,2024-04-28,Home,1,118,clicked,4,Apr,Post-Update
279,1314,2024-06-20,Pricing Page,2,46,dropped,6,Jun,Post-Update
280,2576,2024-06-06,Payment,4,50,viewed,6,Jun,Post-Update
281,260,2024-02-08,Payment,4,83,clicked,2,Feb,Pre-Update
282,304,2024-02-02,Plan Selection,3,101,clicked,2,Feb,Pre-Update
283,104,2024-05-12,Plan Selection,3,126,dropped,5,May,Post-Update
284,1362,2024-04-09,Pricing Page,2,47,dropped,4,Apr,Post-Update
285,454,2024-03-29,Confirmation,5,96,converted,3,Mar,Post-Update
286,673,2024-05-29,Pricing Page,2,62,clicked,5,May,Post-Update
287,2859,2024-05-12,Payment,4,183,viewed,5,May,Post-Update
288,2668,2024-05-15,Home,1,37,clicked,5,May,Post-Update
289,2544,2024-06-09,Confirmation,5,162,converted,6,Jun,Post-Update
290,474,2024-04-01,Home,1,156,clicked,4,Apr,Post-Update
291,1163,2024-03-10,Payment,4,144,dropped,3,Mar,Pre-Update
292,923,2024-03-03,Payment,4,195,clicked,3,Mar,Pre-Update
293,1749,2024-01-17,Plan Selection,3,60,dropped,1,Jan,Pre-Update
294,2960,2024-03-28,Pricing Page,2,64,dropped,3,Mar,Post-Update
295,1169,2024-06-16,Pricing Page,2,53,dropped,6,Jun,Post-Update
296,1942,2024-03-31,Plan Selection,3,76,viewed,3,Mar,Post-Update
297,2516,2024-02-21,Confirmation,5,157,converted,2,Feb,Pre-Update
298,2759,2024-03-11,Home,1,171,clicked,3,Mar,Pre-Update
299,2572,2024-06-14,Home,1,65,clicked,6,Jun,Post-Update
300,46,2024-06-24,Payment,4,29,dropped,6,Jun,Post-Update
301,369,2024-03-07,Pricing Page,2,36,clicked,3,Mar,Pre-Update
302,1984,2024-03-01,Plan Selection,3,95,dropped,3,Mar,Pre-Update
303,327,2024-02-26,Pricing Page,2,35,dropped,2,Feb,Pre-Update
304,2201,2024-06-10,Pricing Page,2,57,dropped,6,Jun,Post-Update
305,1258,2024-04-30,Home,1,74,clicked,4,Apr,Post-Update
306,422,2024-03-20,Payment,4,117,clicked,3,Mar,Post-Update
307,691,2024-01-09,Plan Selection,3,133,clicked,1,Jan,Pre-Update
308,992,2024-03-02,Plan Selection,3,113,clicked,3,Mar,Pre-Update
309,2280,2024-03-15,Payment,4,149,dropped,3,Mar,Post-Update
310,1731,2024-03-27,Plan Selection,3,182,clicked,3,Mar,Post-Update
311,318,2024-04-02,Pricing Page,2,57,dropped,4,Apr,Post-Update
312,2549,2024-04-10,Pricing Page,2,53,viewed,4,Apr,Post-Update
313,198,2024-04-06,Pricing Page,2,60,dropped,4,Apr,Post-Update
314,1642,2024-04-27,Plan Selection,3,22,clicked,4,Apr,Post-Update
315,979,2024-01-23,Plan Selection,3,178,clicked,1,Jan,Pre-Update
316,2730,2024-05-04,Plan Selection,3,94,dropped,5,May,Post-Update
317,2704,2024-03-13,Pricing Page,2,39,clicked,3,Mar,Pre-Update
318,990,2024-05-04,Pricing Page,2,43,dropped,5,May,Post-Update
319,965,2024-06-08,Pricing Page,2,55,dropped,6,Jun,Post-Update
320,57,2024-03-21,Home,1,111,dropped,3,Mar,Post-Update
321,1988,2024-02-06,Home,1,99,dropped,2,Feb,Pre-Update
322,2246,2024-01-16,Home,1,131,clicked,1,Jan,Pre-Update
323,2401,2024-03-18,Payment,4,87,viewed,3,Mar,Post-Update
324,1469,2024-02-16,Payment,4,82,clicked,2,Feb,Pre-Update
325,1688,2024-05-28,Pricing Page,2,56,viewed,5,May,Post-Update
326,1661,2024-01-19,Payment,4,208,clicked,1,Jan,Pre-Update
327,2620,2024-02-17,Plan Selection,3,134,dropped,2,Feb,Pre-Update
328,1411,2024-01-28,Pricing Page,2,37,dropped,1,Jan,Pre-Update
329,1179,2024-02-20,Pricing Page,2,37,clicked,2,Feb,Pre-Update
330,887,2024-04-26,Pricing Page,2,60,clicked,4,Apr,Post-Update
331,1780,2024-04-26,Pricing Page,2,47,dropped,4,Apr,Post-Update
332,2789,2024-01-27,Confirmation,5,63,converted,1,Jan,Pre-Update
333,1517,2024-05-12,Home,1,108,dropped,5,May,Post-Update
334,2323,2024-05-10,Pricing Page,2,45,dropped,5,May,Post-Update
335,854,2024-02-06,Home,1,32,dropped,2,Feb,Pre-Update
336,953,2024-02-05,Home,1,125,viewed,2,Feb,Pre-Update
337,495,2024-03-29,Confirmation,5,64,converted,3,Mar,Post-Update
338,1576,2024-05-25,Pricing Page,2,62,clicked,5,May,Post-Update
339,1352,2024-06-11,Home,1,199,clicked,6,Jun,Post-Update
340,2706,2024-03-25,Plan Selection,3,157,viewed,3,Mar,Post-Update
341,2535,2024-05-22,Pricing Page,2,57,dropped,5,May,Post-Update
342,467,2024-05-11,Home,1,132,clicked,5,May,Post-Update
343,254,2024-05-01,Home,1,113,clicked,5,May,Post-Update
344,2479,2024-02-24,Home,1,48,viewed,2,Feb,Pre-Update
345,2988,2024-02-12,Home,1,43,clicked,2,Feb,Pre-Update
346,326,2024-04-13,Plan Selection,3,12,clicked,4,Apr,Post-Update
347,233,2024-01-22,Pricing Page,2,42,dropped,1,Jan,Pre-Update
348,2603,2024-02-18,Payment,4,182,dropped,2,Feb,Pre-Update
349,2867,2024-03-23,Pricing Page,2,58,dropped,3,Mar,Post-Update
350,2039,2024-06-26,Payment,4,84,clicked,6,Jun,Post-Update
351,888,2024-04-23,Pricing Page,2,49,dropped,4,Apr,Post-Update
352,1242,2024-05-16,Plan Selection,3,75,dropped,5,May,Post-Update
353,1439,2024-01-22,Home,1,92,clicked,1,Jan,Pre-Update
354,2267,2024-06-26,Plan Selection,3,67,clicked,6,Jun,Post-Update
355,1951,2024-05-13,Payment,4,116,clicked,5,May,Post-Update
356,1415,2024-01-21,Home,1,101,viewed,1,Jan,Pre-Update
357,1954,2024-06-01,Pricing Page,2,60,dropped,6,Jun,Post-Update
358,2899,2024-05-01,Pricing Page,2,47,dropped,5,May,Post-Update
359,55,2024-04-01,Pricing Page,2,62,clicked,4,Apr,Post-Update
360,2959,2024-06-06,Pricing Page,2,47,dropped,6,Jun,Post-Update
361,207,2024-01-27,Plan Selection,3,41,dropped,1,Jan,Pre-Update
362,2069,2024-05-15,Plan Selection,3,44,viewed,5,May,Post-Update
363,1652,2024-02-25,Confirmation,5,116,converted,2,Feb,Pre-Update
364,2934,2024-02-24,Plan Selection,3,191,viewed,2,Feb,Pre-Update
365,1717,2024-02-21,Plan Selection,3,135,dropped,2,Feb,Pre-Update
366,1172,2024-05-22,Payment,4,107,dropped,5,May,Post-Update
367,371,2024-02-18,Confirmation,5,25,converted,2,Feb,Pre-Update
368,1396,2024-01-16,Home,1,198,clicked,1,Jan,Pre-Update
369,336,2024-05-24,Plan Selection,3,180,clicked,5,May,Post-Update
370,170,2024-02-26,Pricing Page,2,59,viewed,2,Feb,Pre-Update
371,2941,2024-04-06,Payment,4,18,dropped,4,Apr,Post-Update
372,131,2024-01-20,Pricing Page,2,53,clicked,1,Jan,Pre-Update
373,2348,2024-01-08,Payment,4,53,clicked,1,Jan,Pre-Update
374,2125,2024-01-24,Plan Selection,3,49,clicked,1,Jan,Pre-Update
