subscription_id,user_id,plan_type,start_date,end_date,cancellation_reason,churn_flag,subscription_month,active_days,subscription_period
106,435,Monthly_499,2024-02-24,,,0,2,,Pre-Update
107,445,Monthly_499,2024-02-26,,,0,2,,Pre-Update
108,374,Monthly_499,2024-04-03,2024-06-07,Hard to Cancel,1,4,65.0,Post-Update
109,1357,Monthly_499,2024-06-17,,,0,6,,Post-Update
110,2431,Quarterly_1299,2024-05-26,2024-06-24,Hard to Cancel,1,5,29.0,Post-Update
111,284,Quarterly_1299,2024-03-10,2024-04-09,Too Expensive,1,3,30.0,Pre-Update
112,322,Quarterly_1299,2024-01-03,,,0,1,,Pre-Update
113,423,Annual_3999,2024-05-03,,,0,5,,Post-Update
114,1786,Monthly_499,2024-02-11,2024-04-18,Hard to Cancel,1,2,67.0,Pre-Update
115,745,Monthly_499,2024-01-01,2024-03-27,Not Using App,1,1,86.0,Pre-Update
116,2022,Monthly_499,2024-02-14,2024-05-11,Found Better App,1,2,87.0,Pre-Update
117,1350,Annual_3999,2024-04-25,2024-05-18,Not Using App,1,4,23.0,Post-Update
118,1458,Quarterly_1299,2024-01-07,,,0,1,,Pre-Update
119,1471,Quarterly_1299,2024-06-01,2024-08-08,Hard to Cancel,1,6,68.0,Post-Update
120,845,Quarterly_1299,2024-01-21,2024-02-21,Too Expensive,1,1,31.0,Pre-Update
121,1698,Monthly_499,2024-03-14,,,0,3,,Pre-Update
122,868,Monthly_499,2024-01-13,2024-02-19,Too Expensive,1,1,37.0,Pre-Update
123,921,Quarterly_1299,2024-05-12,2024-05-25,Found Better App,1,5,13.0,Post-Update
124,995,Annual_3999,2024-06-25,,,0,6,,Post-Update
125,2384,Monthly_499,2024-04-01,2024-06-03,Not Using App,1,4,63.0,Post-Update
126,1456,Monthly_499,2024-02-27,,,0,2,,Pre-Update
127,1096,Quarterly_1299,2024-04-09,2024-06-30,Not Using App,1,4,82.0,Post-Update
128,1530,Monthly_499,2024-01-02,,,0,1,,Pre-Update
129,2736,Quarterly_1299,2024-01-21,,,0,1,,Pre-Update
130,1458,Quarterly_1299,2024-01-10,,,0,1,,Pre-Update
131,2287,Monthly_499,2024-02-27,,,0,2,,Pre-Update
132,371,Monthly_499,2024-05-20,2024-07-17,Hard to Cancel,1,5,58.0,Post-Update
133,2600,Monthly_499,2024-02-29,2024-05-16,Not Using App,1,2,77.0,Pre-Update
134,2057,Monthly_499,2024-03-31,,,0,3,,Post-Update
135,1009,Monthly_499,2024-03-26,,,0,3,,Post-Update
136,2248,Monthly_499,2024-04-28,2024-07-05,Hard to Cancel,1,4,68.0,Post-Update
137,1835,Monthly_499,2024-04-14,,,0,4,,Post-Update
138,2172,Monthly_499,2024-06-06,2024-08-14,Found Better App,1,6,69.0,Post-Update
139,1885,Monthly_499,2024-02-10,,,0,2,,Pre-Update
140,1664,Monthly_499,2024-03-20,2024-04-27,Too Expensive,1,3,38.0,Post-Update
141,2819,Quarterly_1299,2024-06-09,2024-06-25,Hard to Cancel,1,6,16.0,Post-Update
142,523,Monthly_499,2024-01-02,,,0,1,,Pre-Update
143,1457,Monthly_499,2024-04-15,2024-05-29,Hard to Cancel,1,4,44.0,Post-Update
144,340,Monthly_499,2024-01-21,,,0,1,,Pre-Update
145,706,Monthly_499,2024-05-30,,,0,5,,Post-Update
146,1434,Monthly_499,2024-01-16,,,0,1,,Pre-Update
147,2417,Monthly_499,2024-05-12,2024-07-10,Found Better App,1,5,59.0,Post-Update
148,1352,Annual_3999,2024-04-30,,,0,4,,Post-Update
149,2239,Monthly_499,2024-06-12,,,0,6,,Post-Update
150,1511,Monthly_499,2024-04-04,,,0,4,,Post-Update
151,752,Annual_3999,2024-04-06,,,0,4,,Post-Update
152,558,Monthly_499,2024-06-23,,,0,6,,Post-Update
153,1462,Quarterly_1299,2024-01-11,,,0,1,,Pre-Update
154,269,Monthly_499,2024-05-11,,,0,5,,Post-Update
155,569,Monthly_499,2024-06-24,2024-09-01,Hard to Cancel,1,6,69.0,Post-Update
156,1374,Monthly_499,2024-06-09,2024-08-20,Hard to Cancel,1,6,72.0,Post-Update
157,1051,Quarterly_1299,2024-03-02,2024-04-04,Not Using App,1,3,33.0,Pre-Update
158,2107,Quarterly_1299,2024-03-06,,,0,3,,Pre-Update
159,2497,Monthly_499,2024-01-03,,,0,1,,Pre-Update
160,1526,Monthly_499,2024-06-29,2024-07-15,Too Expensive,1,6,16.0,Post-Update
161,996,Quarterly_1299,2024-01-23,,,0,1,,Pre-Update
162,2922,Quarterly_1299,2024-04-09,,,0,4,,Post-Update
163,499,Quarterly_1299,2024-02-10,,,0,2,,Pre-Update
164,196,Quarterly_1299,2024-02-04,2024-04-24,Not Using App,1,2,80.0,Pre-Update
165,2434,Monthly_499,2024-06-28,,,0,6,,Post-Update
166,1739,Monthly_499,2024-01-03,,,0,1,,Pre-Update
167,148,Annual_3999,2024-03-17,2024-06-11,Hard to Cancel,1,3,86.0,Post-Update
168,1353,Annual_3999,2024-01-12,,,0,1,,Pre-Update
169,459,Monthly_499,2024-06-20,,,0,6,,Post-Update
170,2728,Quarterly_1299,2024-06-11,2024-07-25,Not Using App,1,6,44.0,Post-Update
171,1018,Monthly_499,2024-04-02,2024-04-17,Found Better App,1,4,15.0,Post-Update
172,1269,Monthly_499,2024-03-03,,,0,3,,Pre-Update
173,2661,Quarterly_1299,2024-05-02,,,0,5,,Post-Update
174,2739,Quarterly_1299,2024-05-06,,,0,5,,Post-Update
175,660,Monthly_499,2024-06-29,,,0,6,,Post-Update
176,1342,Monthly_499,2024-01-29,,,0,1,,Pre-Update
177,1707,Quarterly_1299,2024-03-29,2024-06-20,Found Better App,1,3,83.0,Post-Update
178,2539,Quarterly_1299,2024-03-25,,,0,3,,Post-Update
179,1120,Annual_3999,2024-02-10,2024-03-23,Too Expensive,1,2,42.0,Pre-Update
180,2790,Annual_3999,2024-06-21,,,0,6,,Post-Update
181,2732,Quarterly_1299,2024-05-02,2024-07-27,Hard to Cancel,1,5,86.0,Post-Update
182,1250,Monthly_499,2024-02-26,2024-03-08,Too Expensive,1,2,11.0,Pre-Update
183,1946,Monthly_499,2024-02-09,2024-04-30,Too Expensive,1,2,81.0,Pre-Update
184,1959,Monthly_499,2024-03-25,2024-04-29,Hard to Cancel,1,3,35.0,Post-Update
185,1708,Annual_3999,2024-04-07,2024-05-30,Not Using App,1,4,53.0,Post-Update
186,1204,Quarterly_1299,2024-04-17,2024-04-28,Found Better App,1,4,11.0,Post-Update
187,984,Monthly_499,2024-01-04,,,0,1,,Pre-Update
188,175,Monthly_499,2024-06-05,2024-07-15,Hard to Cancel,1,6,40.0,Post-Update
189,2894,Quarterly_1299,2024-04-09,,,0,4,,Post-Update
190,1095,Monthly_499,2024-01-16,2024-01-27,Found Better App,1,1,11.0,Pre-Update
191,931,Quarterly_1299,2024-06-18,,,0,6,,Post-Update
192,1648,Quarterly_1299,2024-06-04,2024-07-01,Hard to Cancel,1,6,27.0,Post-Update
193,1330,Monthly_499,2024-04-09,,,0,4,,Post-Update
194,404,Quarterly_1299,2024-02-10,,,0,2,,Pre-Update
195,638,Quarterly_1299,2024-03-24,2024-04-06,Hard to Cancel,1,3,13.0,Post-Update
196,1895,Quarterly_1299,2024-05-07,2024-06-15,Too Expensive,1,5,39.0,Post-Update
197,622,Quarterly_1299,2024-01-11,2024-03-18,Too Expensive,1,1,67.0,Pre-Update
198,2247,Quarterly_1299,2024-02-05,2024-03-05,Found Better App,1,2,29.0,Pre-Update
199,2803,Monthly_499,2024-06-07,2024-08-17,Found Better App,1,6,71.0,Post-Update
200,647,Monthly_499,2024-03-08,,,0,3,,Pre-Update
201,969,Monthly_499,2024-04-21,,,0,4,,Post-Update
202,741,Quarterly_1299,2024-01-15,2024-03-05,Too Expensive,1,1,50.0,Pre-Update
203,1900,Monthly_499,2024-03-26,,,0,3,,Post-Update
204,2662,Quarterly_1299,2024-06-10,2024-06-24,Hard to Cancel,1,6,14.0,Post-Update
205,2500,Monthly_499,2024-06-25,,,0,6,,Post-Update
206,1870,Monthly_499,2024-02-18,2024-03-22,Found Better App,1,2,33.0,Pre-Update
207,1358,Annual_3999,2024-04-28,,,0,4,,Post-Update
208,601,Quarterly_1299,2024-02-14,2024-05-13,Found Better App,1,2,89.0,Pre-Update
209,1206,Quarterly_1299,2024-03-07,2024-04-29,Too Expensive,1,3,53.0,Pre-Update
210,1864,Annual_3999,2024-05-15,2024-06-12,Too Expensive,1,5,28.0,Post-Update
211,1329,Monthly_499,2024-02-29,,,0,2,,Pre-Update
212,545,Monthly_499,2024-01-03,,,0,1,,Pre-Update
213,1153,Monthly_499,2024-01-26,2024-02-09,Too Expensive,1,1,14.0,Pre-Update
214,561,Annual_3999,2024-01-21,,,0,1,,Pre-Update
215,735,Quarterly_1299,2024-02-21,,,0,2,,Pre-Update
216,2593,Monthly_499,2024-04-12,2024-06-09,Too Expensive,1,4,58.0,Post-Update
217,1445,Quarterly_1299,2024-03-17,2024-04-29,Not Using App,1,3,43.0,Post-Update
218,2635,Annual_3999,2024-06-14,,,0,6,,Post-Update
219,2426,Annual_3999,2024-02-20,2024-03-19,Hard to Cancel,1,2,28.0,Pre-Update
220,1768,Monthly_499,2024-05-21,2024-06-11,Not Using App,1,5,21.0,Post-Update
221,2005,Monthly_499,2024-06-06,2024-08-14,Hard to Cancel,1,6,69.0,Post-Update
222,2724,Monthly_499,2024-06-04,2024-07-29,Hard to Cancel,1,6,55.0,Post-Update
223,2174,Quarterly_1299,2024-03-06,2024-05-11,Too Expensive,1,3,66.0,Pre-Update
224,2202,Monthly_499,2024-01-27,2024-03-19,Hard to Cancel,1,1,52.0,Pre-Update
225,1184,Quarterly_1299,2024-06-24,,,0,6,,Post-Update
226,292,Annual_3999,2024-02-11,2024-03-20,Hard to Cancel,1,2,38.0,Pre-Update
227,523,Monthly_499,2024-05-09,2024-06-30,Hard to Cancel,1,5,52.0,Post-Update
228,1602,Monthly_499,2024-06-29,,,0,6,,Post-Update
229,1288,Quarterly_1299,2024-03-13,2024-06-07,Too Expensive,1,3,86.0,Pre-Update
230,1763,Monthly_499,2024-03-25,2024-05-23,Too Expensive,1,3,59.0,Post-Update
231,1812,Annual_3999,2024-06-19,,,0,6,,Post-Update
232,1914,Monthly_499,2024-02-04,,,0,2,,Pre-Update
233,2463,Monthly_499,2024-03-05,,,0,3,,Pre-Update
234,2738,Monthly_499,2024-05-28,,,0,5,,Post-Update
235,1546,Quarterly_1299,2024-04-23,2024-07-07,Not Using App,1,4,75.0,Post-Update
236,398,Monthly_499,2024-04-02,2024-05-26,Hard to Cancel,1,4,54.0,Post-Update
237,866,Monthly_499,2024-06-05,,,0,6,,Post-Update
238,786,Quarterly_1299,2024-01-21,,,0,1,,Pre-Update
239,1459,Monthly_499,2024-05-12,,,0,5,,Post-Update
240,1669,Quarterly_1299,2024-02-19,,,0,2,,Pre-Update
241,1097,Quarterly_1299,2024-05-14,,,0,5,,Post-Update
242,1020,Annual_3999,2024-02-05,2024-05-02,Too Expensive,1,2,87.0,Pre-Update
243,2919,Quarterly_1299,2024-05-11,2024-07-21,Not Using App,1,5,71.0,Post-Update
244,640,Monthly_499,2024-06-21,,,0,6,,Post-Update
245,1359,Monthly_499,2024-06-24,,,0,6,,Post-Update
246,241,Monthly_499,2024-06-09,2024-08-25,Hard to Cancel,1,6,77.0,Post-Update
247,726,Monthly_499,2024-01-29,,,0,1,,Pre-Update
248,2450,Monthly_499,2024-05-06,2024-06-18,Not Using App,1,5,43.0,Post-Update
249,1490,Quarterly_1299,2024-02-13,,,0,2,,Pre-Update
250,12,Quarterly_1299,2024-04-07,,,0,4,,Post-Update
251,376,Monthly_499,2024-01-19,,,0,1,,Pre-Update
252,1983,Monthly_499,2024-01-08,2024-02-26,Too Expensive,1,1,49.0,Pre-Update
253,685,Annual_3999,2024-01-22,2024-02-29,Hard to Cancel,1,1,38.0,Pre-Update
254,1744,Quarterly_1299,2024-04-02,2024-04-17,Not Using App,1,4,15.0,Post-Update
255,2989,Monthly_499,2024-03-25,2024-05-15,Too Expensive,1,3,51.0,Post-Update
256,2315,Annual_3999,2024-06-05,2024-06-16,Found Better App,1,6,11.0,Post-Update
257,1249,Quarterly_1299,2024-03-12,2024-05-29,Hard to Cancel,1,3,78.0,Pre-Update
258,2708,Monthly_499,2024-02-10,,,0,2,,Pre-Update
259,1833,Annual_3999,2024-06-21,,,0,6,,Post-Update
260,1031,Monthly_499,2024-02-10,,,0,2,,Pre-Update
261,1204,Annual_3999,2024-05-29,2024-08-12,Not Using App,1,5,75.0,Post-Update
262,1082,Monthly_499,2024-04-01,,,0,4,,Post-Update
263,913,Quarterly_1299,2024-02-29,2024-03-21,Not Using App,1,2,21.0,Pre-Update
264,291,Monthly_499,2024-03-08,,,0,3,,Pre-Update
265,205,Monthly_499,2024-01-12,,,0,1,,Pre-Update
266,1593,Monthly_499,2024-04-06,,,0,4,,Post-Update
267,1591,Monthly_499,2024-03-14,2024-05-28,Found Better App,1,3,75.0,Pre-Update
268,1319,Monthly_499,2024-02-17,2024-03-12,Too Expensive,1,2,24.0,Pre-Update
269,936,Monthly_499,2024-01-10,2024-02-16,Too Expensive,1,1,37.0,Pre-Update
270,1563,Annual_3999,2024-05-03,2024-06-21,Not Using App,1,5,49.0,Post-Update
271,1858,Monthly_499,2024-04-26,,,0,4,,Post-Update
272,1101,Quarterly_1299,2024-01-29,,,0,1,,Pre-Update
273,2021,Quarterly_1299,2024-04-06,,,0,4,,Post-Update
274,729,Quarterly_1299,2024-02-24,2024-05-06,Found Better App,1,2,72.0,Pre-Update
275,2226,Monthly_499,2024-02-16,,,0,2,,Pre-Update
276,2066,Monthly_499,2024-05-06,2024-05-19,Hard to Cancel,1,5,13.0,Post-Update
277,2649,Monthly_499,2024-03-15,,,0,3,,Post-Update
278,2190,Monthly_499,2024-02-21,2024-05-07,Too Expensive,1,2,76.0,Pre-Update
279,2091,Quarterly_1299,2024-05-19,2024-06-15,Too Expensive,1,5,27.0,Post-Update
280,1036,Monthly_499,2024-06-15,2024-08-15,Found Better App,1,6,61.0,Post-Update
281,216,Quarterly_1299,2024-03-06,,,0,3,,Pre-Update
282,2331,Monthly_499,2024-01-25,,,0,1,,Pre-Update
283,1989,Monthly_499,2024-02-21,,,0,2,,Pre-Update
284,1271,Monthly_499,2024-01-13,2024-03-11,Not Using App,1,1,58.0,Pre-Update
285,2563,Quarterly_1299,2024-04-30,,,0,4,,Post-Update
286,2718,Monthly_499,2024-01-01,2024-02-17,Found Better App,1,1,47.0,Pre-Update
287,1023,Monthly_499,2024-06-02,,,0,6,,Post-Update
288,2736,Monthly_499,2024-01-07,2024-01-30,Not Using App,1,1,23.0,Pre-Update
289,374,Annual_3999,2024-01-11,2024-01-25,Too Expensive,1,1,14.0,Pre-Update
290,2946,Monthly_499,2024-02-08,,,0,2,,Pre-Update
291,1703,Quarterly_1299,2024-06-06,,,0,6,,Post-Update
292,182,Monthly_499,2024-04-02,2024-06-13,Not Using App,1,4,72.0,Post-Update
293,1016,Monthly_499,2024-03-29,2024-06-16,Hard to Cancel,1,3,79.0,Post-Update
294,2219,Monthly_499,2024-02-22,2024-05-13,Not Using App,1,2,81.0,Pre-Update
295,2703,Monthly_499,2024-06-20,2024-08-11,Too Expensive,1,6,52.0,Post-Update
296,2609,Quarterly_1299,2024-02-17,,,0,2,,Pre-Update
297,1431,Quarterly_1299,2024-02-13,2024-03-02,Too Expensive,1,2,18.0,Pre-Update
298,692,Monthly_499,2024-02-09,2024-04-12,Too Expensive,1,2,63.0,Pre-Update
299,2948,Quarterly_1299,2024-02-28,,,0,2,,Pre-Update
300,2889,Monthly_499,2024-04-22,2024-06-21,Hard to Cancel,1,4,60.0,Post-Update
301,2719,Monthly_499,2024-03-23,2024-05-17,Hard to Cancel,1,3,55.0,Post-Update
302,2012,Quarterly_1299,2024-06-17,,,0,6,,Post-Update
303,700,Quarterly_1299,2024-06-05,2024-08-12,Hard to Cancel,1,6,68.0,Post-Update
304,728,Monthly_499,2024-06-21,2024-08-29,Too Expensive,1,6,69.0,Post-Update
305,1977,Quarterly_1299,2024-04-11,2024-04-24,Too Expensive,1,4,13.0,Post-Update
306,567,Monthly_499,2024-06-22,2024-08-23,Hard to Cancel,1,6,62.0,Post-Update
307,1088,Monthly_499,2024-03-16,,,0,3,,Post-Update
308,2250,Monthly_499,2024-03-31,,,0,3,,Post-Update
309,2487,Monthly_499,2024-01-03,,,0,1,,Pre-Update
310,1813,Monthly_499,2024-03-15,,,0,3,,Post-Update
311,126,Quarterly_1299,2024-03-06,,,0,3,,Pre-Update
312,1220,Quarterly_1299,2024-02-02,,,0,2,,Pre-Update
313,229,Monthly_499,2024-06-17,2024-07-13,Hard to Cancel,1,6,26.0,Post-Update
314,559,Quarterly_1299,2024-03-22,2024-04-19,Found Better App,1,3,28.0,Post-Update
315,814,Monthly_499,2024-03-09,2024-06-06,Too Expensive,1,3,89.0,Pre-Update
316,696,Monthly_499,2024-03-18,,,0,3,,Post-Update
317,1085,Annual_3999,2024-06-28,2024-07-28,Hard to Cancel,1,6,30.0,Post-Update
318,2909,Monthly_499,2024-03-15,2024-04-04,Hard to Cancel,1,3,20.0,Post-Update
319,168,Annual_3999,2024-01-04,2024-01-17,Not Using App,1,1,13.0,Pre-Update
320,1728,Monthly_499,2024-02-15,,,0,2,,Pre-Update
321,2203,Monthly_499,2024-01-17,,,0,1,,Pre-Update
322,486,Quarterly_1299,2024-06-04,2024-06-18,Not Using App,1,6,14.0,Post-Update
323,2140,Monthly_499,2024-02-13,2024-04-04,Found Better App,1,2,51.0,Pre-Update
324,1283,Monthly_499,2024-01-27,,,0,1,,Pre-Update
325,1799,Monthly_499,2024-04-25,2024-05-06,Found Better App,1,4,11.0,Post-Update
326,2452,Monthly_499,2024-01-30,,,0,1,,Pre-Update
327,2175,Monthly_499,2024-04-03,2024-05-17,Too Expensive,1,4,44.0,Post-Update
328,1012,Monthly_499,2024-01-22,2024-04-02,Too Expensive,1,1,71.0,Pre-Update
329,1452,Monthly_499,2024-03-03,2024-05-22,Too Expensive,1,3,80.0,Pre-Update
330,707,Monthly_499,2024-01-10,2024-02-24,Too Expensive,1,1,45.0,Pre-Update
331,1229,Quarterly_1299,2024-01-01,,,0,1,,Pre-Update
332,1199,Monthly_499,2024-01-24,,,0,1,,Pre-Update
333,2545,Monthly_499,2024-05-12,2024-07-08,Not Using App,1,5,57.0,Post-Update
334,710,Monthly_499,2024-05-19,2024-07-15,Not Using App,1,5,57.0,Post-Update
335,2823,Monthly_499,2024-03-27,2024-04-17,Too Expensive,1,3,21.0,Post-Update
336,1823,Monthly_499,2024-02-10,,,0,2,,Pre-Update
337,451,Monthly_499,2024-02-29,,,0,2,,Pre-Update
338,906,Monthly_499,2024-04-15,2024-05-23,Found Better App,1,4,38.0,Post-Update
339,2006,Monthly_499,2024-04-01,2024-06-29,Too Expensive,1,4,89.0,Post-Update
340,685,Monthly_499,2024-02-07,2024-04-04,Not Using App,1,2,57.0,Pre-Update
341,298,Monthly_499,2024-05-19,2024-07-25,Hard to Cancel,1,5,67.0,Post-Update
342,1844,Monthly_499,2024-04-20,2024-06-12,Found Better App,1,4,53.0,Post-Update
343,1037,Quarterly_1299,2024-05-15,2024-06-10,Hard to Cancel,1,5,26.0,Post-Update
344,1681,Quarterly_1299,2024-01-18,,,0,1,,Pre-Update
345,1043,Monthly_499,2024-03-26,2024-06-14,Found Better App,1,3,80.0,Post-Update
346,2515,Monthly_499,2024-04-01,2024-06-18,Too Expensive,1,4,78.0,Post-Update
