user_id,signup_date,device_type,acquisition_channel,city_tier,age_group,signup_month,signup_period
63,2024-02-04,Android,YouTube,Tier-3,25-34,2,Pre-Update
64,2024-05-11,iOS,Google Ads,Tier-2,25-34,5,Post-Update
65,2024-02-01,Android,YouTube,Tier-2,18-24,2,Pre-Update
66,2024-02-05,Web,YouTube,Tier-1,25-34,2,Pre-Update
67,2024-03-05,Web,Google Ads,Tier-2,35-44,3,Pre-Update
68,2024-04-19,Web,Instagram,Tier-2,45+,4,Post-Update
69,2024-05-09,Android,Google Ads,Tier-3,45+,5,Post-Update
70,2024-06-15,iOS,Google Ads,Tier-1,25-34,6,Post-Update
71,2024-05-29,Web,Google Ads,Tier-2,18-24,5,Post-Update
72,2024-03-28,Android,Google Ads,Tier-3,25-34,3,Post-Update
73,2024-05-12,Android,YouTube,Tier-2,45+,5,Post-Update
74,2024-05-19,Web,Instagram,Tier-2,18-24,5,Post-Update
75,2024-01-30,Android,Instagram,Tier-1,18-24,1,Pre-Update
76,2024-06-26,Android,Instagram,Tier-2,25-34,6,Post-Update
77,2024-04-16,Android,Instagram,Tier-2,18-24,4,Post-Update
78,2024-06-24,Android,Google Ads,Tier-2,45+,6,Post-Update
79,2024-03-05,Android,YouTube,Tier-2,45+,3,Pre-Update
80,2024-02-02,Web,Instagram,Tier-1,35-44,2,Pre-Update
81,2024-02-13,Web,Instagram,Tier-3,18-24,2,Pre-Update
82,2024-02-16,Web,Google Ads,Tier-1,18-24,2,Pre-Update
83,2024-06-16,Android,YouTube,Tier-2,18-24,6,Post-Update
84,2024-06-29,iOS,Google Ads,Tier-1,45+,6,Post-Update
85,2024-03-02,Android,Instagram,Tier-1,18-24,3,Pre-Update
86,2024-02-11,Android,YouTube,Tier-3,18-24,2,Pre-Update
87,2024-02-23,Android,Google Ads,Tier-3,18-24,2,Pre-Update
88,2024-02-13,iOS,Instagram,Tier-2,35-44,2,Pre-Update
89,2024-04-17,Android,YouTube,Tier-1,18-24,4,Post-Update
90,2024-06-12,Android,Instagram,Tier-3,25-34,6,Post-Update
91,2024-01-23,Android,YouTube,Tier-2,35-44,1,Pre-Update
92,2024-06-07,Android,YouTube,Tier-2,25-34,6,Post-Update
93,2024-05-01,Android,Google Ads,Tier-2,25-34,5,Post-Update
94,2024-02-16,iOS,Organic,Tier-3,18-24,2,Pre-Update
95,2024-01-31,Android,Google Ads,Tier-2,45+,1,Pre-Update
96,2024-03-16,Web,Instagram,Tier-1,18-24,3,Post-Update
97,2024-02-16,iOS,YouTube,Tier-3,35-44,2,Pre-Update
98,2024-02-02,Android,Organic,Tier-2,25-34,2,Pre-Update
99,2024-02-22,iOS,Instagram,Tier-1,35-44,2,Pre-Update
100,2024-03-30,iOS,Instagram,Tier-3,45+,3,Post-Update
101,2024-02-23,iOS,YouTube,Tier-3,25-34,2,Pre-Update
102,2024-03-19,Android,Organic,Tier-1,35-44,3,Post-Update
103,2024-01-02,Android,Google Ads,Tier-2,18-24,1,Pre-Update
104,2024-04-06,Android,Instagram,Tier-3,18-24,4,Post-Update
105,2024-04-06,Android,Instagram,Tier-1,25-34,4,Post-Update
106,2024-04-05,iOS,Instagram,Tier-2,45+,4,Post-Update
107,2024-03-06,Web,Instagram,Tier-1,45+,3,Pre-Update
108,2024-02-29,Android,Google Ads,Tier-3,25-34,2,Pre-Update
109,2024-05-13,Android,YouTube,Tier-1,25-34,5,Post-Update
110,2024-02-11,iOS,Organic,Tier-1,18-24,2,Pre-Update
111,2024-03-12,Android,Organic,Tier-2,25-34,3,Pre-Update
112,2024-04-11,Android,Google Ads,Tier-1,45+,4,Post-Update
113,2024-03-15,Android,Instagram,Tier-1,35-44,3,Post-Update
114,2024-01-14,Android,Organic,Tier-1,45+,1,Pre-Update
115,2024-05-07,Web,Organic,Tier-3,35-44,5,Post-Update
116,2024-04-22,iOS,Instagram,Tier-3,35-44,4,Post-Update
117,2024-04-22,Web,Organic,Tier-2,25-34,4,Post-Update
118,2024-06-10,iOS,Organic,Tier-1,25-34,6,Post-Update
119,2024-05-31,iOS,Instagram,Tier-3,25-34,5,Post-Update
120,2024-04-30,iOS,Instagram,Tier-2,18-24,4,Post-Update
121,2024-03-12,Android,YouTube,Tier-3,45+,3,Pre-Update
122,2024-06-20,Android,YouTube,Tier-3,35-44,6,Post-Update
123,2024-05-24,Web,Instagram,Tier-1,18-24,5,Post-Update
124,2024-03-28,Android,YouTube,Tier-2,35-44,3,Post-Update
125,2024-05-29,Android,Organic,Tier-1,18-24,5,Post-Update
126,2024-01-18,iOS,YouTube,Tier-3,18-24,1,Pre-Update
127,2024-06-14,iOS,Google Ads,Tier-1,18-24,6,Post-Update
128,2024-02-23,Web,Organic,Tier-1,25-34,2,Pre-Update
129,2024-06-07,Web,Instagram,Tier-1,18-24,6,Post-Update
130,2024-04-05,Android,Google Ads,Tier-2,35-44,4,Post-Update
131,2024-03-05,Android,YouTube,Tier-3,35-44,3,Pre-Update
132,2024-04-07,iOS,Instagram,Tier-3,25-34,4,Post-Update
133,2024-04-21,Android,Organic,Tier-3,35-44,4,Post-Update
134,2024-04-08,Web,YouTube,Tier-1,18-24,4,Post-Update
135,2024-01-26,Web,Organic,Tier-3,25-34,1,Pre-Update
136,2024-05-27,Web,YouTube,Tier-3,18-24,5,Post-Update
137,2024-04-18,iOS,YouTube,Tier-3,35-44,4,Post-Update
138,2024-06-23,Android,Instagram,Tier-2,25-34,6,Post-Update
139,2024-04-03,Android,Google Ads,Tier-3,25-34,4,Post-Update
140,2024-03-31,Android,Google Ads,Tier-1,45+,3,Post-Update
141,2024-03-24,Web,Google Ads,Tier-1,45+,3,Post-Update
142,2024-06-11,iOS,Organic,Tier-3,45+,6,Post-Update
143,2024-05-20,Android,YouTube,Tier-2,25-34,5,Post-Update
144,2024-03-01,Web,YouTube,Tier-3,45+,3,Pre-Update
145,2024-05-02,Web,Instagram,Tier-2,18-24,5,Post-Update
146,2024-01-02,iOS,YouTube,Tier-3,18-24,1,Pre-Update
147,2024-06-29,iOS,Instagram,Tier-2,25-34,6,Post-Update
148,2024-05-05,Web,Instagram,Tier-1,35-44,5,Post-Update
149,2024-04-30,Android,Google Ads,Tier-1,45+,4,Post-Update
150,2024-02-05,Web,Instagram,Tier-1,35-44,2,Pre-Update
151,2024-05-04,Web,Google Ads,Tier-1,25-34,5,Post-Update
152,2024-05-24,Web,Google Ads,Tier-3,35-44,5,Post-Update
153,2024-04-30,iOS,Instagram,Tier-3,18-24,4,Post-Update
154,2024-06-02,iOS,YouTube,Tier-3,18-24,6,Post-Update
155,2024-02-24,iOS,Organic,Tier-1,45+,2,Pre-Update
156,2024-01-13,Web,Google Ads,Tier-2,18-24,1,Pre-Update
157,2024-02-12,Android,Google Ads,Tier-3,35-44,2,Pre-Update
158,2024-05-17,Android,Google Ads,Tier-2,18-24,5,Post-Update
159,2024-01-07,iOS,Google Ads,Tier-2,25-34,1,Pre-Update
160,2024-02-21,iOS,YouTube,Tier-2,45+,2,Pre-Update
161,2024-02-19,Web,Instagram,Tier-3,35-44,2,Pre-Update
162,2024-02-10,iOS,YouTube,Tier-3,35-44,2,Pre-Update
163,2024-01-19,Web,Google Ads,Tier-2,45+,1,Pre-Update
164,2024-03-11,Web,YouTube,Tier-3,35-44,3,Pre-Update
165,2024-06-10,Android,Google Ads,Tier-3,35-44,6,Post-Update
166,2024-05-30,Android,YouTube,Tier-1,18-24,5,Post-Update
167,2024-06-26,iOS,YouTube,Tier-3,18-24,6,Post-Update
168,2024-05-23,Android,Instagram,Tier-2,45+,5,Post-Update
169,2024-01-08,iOS,Google Ads,Tier-3,45+,1,Pre-Update
170,2024-01-20,iOS,Google Ads,Tier-1,35-44,1,Pre-Update
171,2024-02-12,iOS,Instagram,Tier-1,35-44,2,Pre-Update
172,2024-01-01,Android,Organic,Tier-3,18-24,1,Pre-Update
173,2024-04-17,Android,YouTube,Tier-2,35-44,4,Post-Update
174,2024-02-22,iOS,YouTube,Tier-3,35-44,2,Pre-Update
175,2024-01-12,iOS,Organic,Tier-1,35-44,1,Pre-Update
176,2024-02-15,Android,Google Ads,Tier-1,45+,2,Pre-Update
177,2024-06-10,iOS,Organic,Tier-3,35-44,6,Post-Update
178,2024-04-06,iOS,YouTube,Tier-2,45+,4,Post-Update
179,2024-05-08,iOS,Instagram,Tier-3,35-44,5,Post-Update
180,2024-03-27,iOS,YouTube,Tier-1,18-24,3,Post-Update
181,2024-03-05,Android,Google Ads,Tier-3,25-34,3,Pre-Update
182,2024-01-23,Web,Organic,Tier-2,45+,1,Pre-Update
183,2024-05-08,Web,Instagram,Tier-3,25-34,5,Post-Update
184,2024-04-11,Web,YouTube,Tier-1,45+,4,Post-Update
185,2024-02-24,Android,Organic,Tier-3,18-24,2,Pre-Update
186,2024-04-17,Android,YouTube,Tier-2,25-34,4,Post-Update
187,2024-03-01,Web,Instagram,Tier-1,45+,3,Pre-Update
188,2024-03-21,Android,Google Ads,Tier-1,45+,3,Post-Update
189,2024-04-28,iOS,Instagram,Tier-1,18-24,4,Post-Update
190,2024-05-23,Android,Organic,Tier-2,25-34,5,Post-Update
191,2024-03-20,Web,Google Ads,Tier-2,18-24,3,Post-Update
192,2024-01-11,Web,Google Ads,Tier-1,18-24,1,Pre-Update
193,2024-04-17,Android,Google Ads,Tier-1,45+,4,Post-Update
194,2024-03-24,Android,YouTube,Tier-2,25-34,3,Post-Update
195,2024-01-16,Android,Instagram,Tier-3,25-34,1,Pre-Update
196,2024-01-12,Android,YouTube,Tier-2,25-34,1,Pre-Update
197,2024-05-18,Android,Organic,Tier-3,45+,5,Post-Update
198,2024-02-28,Web,Google Ads,Tier-2,25-34,2,Pre-Update
199,2024-03-29,iOS,Organic,Tier-3,45+,3,Post-Update
200,2024-05-31,iOS,Organic,Tier-1,35-44,5,Post-Update
201,2024-05-10,Android,Instagram,Tier-1,35-44,5,Post-Update
202,2024-01-11,Web,Instagram,Tier-2,45+,1,Pre-Update
203,2024-05-21,iOS,Google Ads,Tier-1,25-34,5,Post-Update
204,2024-04-01,Android,YouTube,Tier-2,35-44,4,Post-Update
205,2024-06-24,Android,YouTube,Tier-2,35-44,6,Post-Update
206,2024-02-20,Android,YouTube,Tier-2,18-24,2,Pre-Update
207,2024-05-31,Android,Instagram,Tier-3,35-44,5,Post-Update
208,2024-01-23,Android,Organic,Tier-3,35-44,1,Pre-Update
209,2024-06-11,Android,Organic,Tier-1,18-24,6,Post-Update
210,2024-01-22,Web,Organic,Tier-3,25-34,1,Pre-Update
211,2024-05-12,Web,YouTube,Tier-2,35-44,5,Post-Update
212,2024-03-29,iOS,Google Ads,Tier-3,35-44,3,Post-Update
213,2024-06-17,Android,YouTube,Tier-3,25-34,6,Post-Update
214,2024-03-29,Android,Instagram,Tier-3,18-24,3,Post-Update
215,2024-06-07,iOS,YouTube,Tier-2,45+,6,Post-Update
216,2024-06-22,Web,Google Ads,Tier-2,25-34,6,Post-Update
217,2024-04-07,Android,Instagram,Tier-2,25-34,4,Post-Update
218,2024-03-16,Android,YouTube,Tier-2,35-44,3,Post-Update
219,2024-05-11,Web,YouTube,Tier-2,18-24,5,Post-Update
220,2024-06-28,Web,Organic,Tier-2,18-24,6,Post-Update
221,2024-02-22,Web,Google Ads,Tier-3,45+,2,Pre-Update
222,2024-03-08,Web,Organic,Tier-2,18-24,3,Pre-Update
223,2024-04-04,iOS,Instagram,Tier-3,45+,4,Post-Update
224,2024-05-19,iOS,Instagram,Tier-3,18-24,5,Post-Update
225,2024-02-12,iOS,Organic,Tier-1,18-24,2,Pre-Update
226,2024-05-14,iOS,Organic,Tier-2,18-24,5,Post-Update
227,2024-03-28,Android,Instagram,Tier-1,25-34,3,Post-Update
228,2024-04-04,Android,Google Ads,Tier-2,18-24,4,Post-Update
229,2024-02-27,Android,YouTube,Tier-2,35-44,2,Pre-Update
230,2024-02-13,iOS,Google Ads,Tier-3,45+,2,Pre-Update
231,2024-03-29,Android,Instagram,Tier-1,45+,3,Post-Update
232,2024-04-28,iOS,Organic,Tier-1,18-24,4,Post-Update
233,2024-06-18,iOS,Instagram,Tier-2,25-34,6,Post-Update
234,2024-02-13,Android,Instagram,Tier-3,45+,2,Pre-Update
235,2024-06-04,Android,Organic,Tier-3,18-24,6,Post-Update
236,2024-03-03,Android,Google Ads,Tier-3,35-44,3,Pre-Update
237,2024-02-20,iOS,YouTube,Tier-1,18-24,2,Pre-Update
238,2024-04-05,Android,Instagram,Tier-1,18-24,4,Post-Update
239,2024-01-14,iOS,YouTube,Tier-3,25-34,1,Pre-Update
240,2024-02-25,Web,Google Ads,Tier-2,25-34,2,Pre-Update
241,2024-05-21,iOS,Instagram,Tier-2,25-34,5,Post-Update
242,2024-05-08,iOS,Organic,Tier-3,35-44,5,Post-Update
243,2024-06-04,Android,Organic,Tier-1,25-34,6,Post-Update
244,2024-05-30,iOS,Instagram,Tier-3,18-24,5,Post-Update
245,2024-04-24,iOS,Google Ads,Tier-1,25-34,4,Post-Update
246,2024-02-09,Web,Google Ads,Tier-2,18-24,2,Pre-Update
247,2024-05-11,iOS,Instagram,Tier-2,45+,5,Post-Update
248,2024-06-11,Web,Google Ads,Tier-2,18-24,6,Post-Update
249,2024-04-15,Web,Organic,Tier-3,45+,4,Post-Update
250,2024-06-24,Android,YouTube,Tier-1,25-34,6,Post-Update
251,2024-04-24,Android,Organic,Tier-1,18-24,4,Post-Update
252,2024-01-05,iOS,Instagram,Tier-3,25-34,1,Pre-Update
253,2024-05-01,Android,Instagram,Tier-2,25-34,5,Post-Update
254,2024-03-22,iOS,Google Ads,Tier-2,25-34,3,Post-Update
255,2024-01-25,iOS,Google Ads,Tier-1,35-44,1,Pre-Update
256,2024-03-08,iOS,Google Ads,Tier-3,18-24,3,Pre-Update
257,2024-06-29,Android,Google Ads,Tier-3,18-24,6,Post-Update
258,2024-05-12,Android,Instagram,Tier-2,18-24,5,Post-Update
259,2024-05-01,Web,Instagram,Tier-3,18-24,5,Post-Update
260,2024-03-20,iOS,YouTube,Tier-2,35-44,3,Post-Update
261,2024-05-21,Android,Google Ads,Tier-1,18-24,5,Post-Update
262,2024-05-16,Web,Instagram,Tier-3,18-24,5,Post-Update
263,2024-03-29,Android,Organic,Tier-1,35-44,3,Post-Update
264,2024-03-07,Android,Google Ads,Tier-1,18-24,3,Pre-Update
265,2024-01-31,Web,Google Ads,Tier-3,25-34,1,Pre-Update
266,2024-01-12,iOS,Instagram,Tier-3,18-24,1,Pre-Update
267,2024-03-17,Web,Google Ads,Tier-2,25-34,3,Post-Update
268,2024-04-09,iOS,Google Ads,Tier-3,25-34,4,Post-Update
269,2024-01-25,Android,Organic,Tier-3,35-44,1,Pre-Update
270,2024-06-07,Android,Google Ads,Tier-2,45+,6,Post-Update
271,2024-03-29,Web,Google Ads,Tier-3,18-24,3,Post-Update
272,2024-04-09,Android,Google Ads,Tier-2,25-34,4,Post-Update
273,2024-01-13,Android,Organic,Tier-3,18-24,1,Pre-Update
274,2024-02-22,Web,Instagram,Tier-2,35-44,2,Pre-Update
275,2024-05-23,Android,Organic,Tier-3,18-24,5,Post-Update
276,2024-05-02,Android,YouTube,Tier-2,18-24,5,Post-Update
277,2024-01-08,iOS,YouTube,Tier-2,18-24,1,Pre-Update
278,2024-05-04,Web,Organic,Tier-3,35-44,5,Post-Update
279,2024-06-12,iOS,Instagram,Tier-1,25-34,6,Post-Update
280,2024-04-16,Web,Organic,Tier-3,25-34,4,Post-Update
281,2024-04-11,iOS,Instagram,Tier-1,18-24,4,Post-Update
282,2024-01-22,iOS,Organic,Tier-1,25-34,1,Pre-Update
283,2024-02-29,Web,Google Ads,Tier-3,25-34,2,Pre-Update
284,2024-01-04,Android,YouTube,Tier-1,18-24,1,Pre-Update
285,2024-05-25,Web,YouTube,Tier-3,35-44,5,Post-Update
286,2024-06-14,Android,Instagram,Tier-1,25-34,6,Post-Update
287,2024-01-25,Web,YouTube,Tier-3,25-34,1,Pre-Update
288,2024-02-28,Android,Instagram,Tier-2,18-24,2,Pre-Update
289,2024-01-28,iOS,Instagram,Tier-1,45+,1,Pre-Update
290,2024-01-08,Web,YouTube,Tier-1,18-24,1,Pre-Update
291,2024-02-16,Web,Instagram,Tier-3,35-44,2,Pre-Update
292,2024-06-04,Android,Instagram,Tier-2,25-34,6,Post-Update
293,2024-03-05,iOS,Google Ads,Tier-2,18-24,3,Pre-Update
294,2024-06-07,Android,Google Ads,Tier-2,35-44,6,Post-Update
295,2024-02-13,Android,YouTube,Tier-2,25-34,2,Pre-Update
296,2024-02-27,Android,Instagram,Tier-1,25-34,2,Pre-Update
297,2024-01-16,Android,Google Ads,Tier-1,18-24,1,Pre-Update
298,2024-03-08,Android,Instagram,Tier-2,35-44,3,Pre-Update
299,2024-04-13,iOS,YouTube,Tier-2,35-44,4,Post-Update
300,2024-01-24,iOS,YouTube,Tier-2,35-44,1,Pre-Update
301,2024-05-20,Web,Organic,Tier-3,45+,5,Post-Update
302,2024-03-08,Web,YouTube,Tier-1,18-24,3,Pre-Update
303,2024-03-18,Web,Instagram,Tier-2,35-44,3,Post-Update
304,2024-05-25,Android,Instagram,Tier-3,45+,5,Post-Update
305,2024-04-05,iOS,YouTube,Tier-1,45+,4,Post-Update
306,2024-05-06,Android,YouTube,Tier-1,25-34,5,Post-Update
307,2024-03-25,Android,Instagram,Tier-1,25-34,3,Post-Update
308,2024-02-04,iOS,Google Ads,Tier-2,35-44,2,Pre-Update
309,2024-03-12,Web,Google Ads,Tier-2,45+,3,Pre-Update
310,2024-04-26,Android,Organic,Tier-2,35-44,4,Post-Update
311,2024-01-11,Android,YouTube,Tier-2,18-24,1,Pre-Update
312,2024-04-09,iOS,Google Ads,Tier-3,45+,4,Post-Update
313,2024-06-20,Web,Google Ads,Tier-2,25-34,6,Post-Update
314,2024-05-20,iOS,Organic,Tier-2,18-24,5,Post-Update
315,2024-02-05,Android,Instagram,Tier-3,18-24,2,Pre-Update
316,2024-03-15,Android,YouTube,Tier-2,18-24,3,Post-Update
317,2024-02-06,iOS,YouTube,Tier-2,45+,2,Pre-Update
318,2024-01-24,iOS,Google Ads,Tier-1,25-34,1,Pre-Update
319,2024-03-31,Web,YouTube,Tier-3,18-24,3,Post-Update
320,2024-03-02,Android,Instagram,Tier-1,18-24,3,Pre-Update
321,2024-05-27,Android,Google Ads,Tier-1,25-34,5,Post-Update
322,2024-03-17,Android,YouTube,Tier-2,35-44,3,Post-Update
323,2024-06-20,Android,Organic,Tier-2,25-34,6,Post-Update
324,2024-04-14,Android,YouTube,Tier-2,35-44,4,Post-Update
325,2024-05-06,Android,YouTube,Tier-2,45+,5,Post-Update
326,2024-05-29,Web,Google Ads,Tier-1,35-44,5,Post-Update
327,2024-06-28,Android,Instagram,Tier-1,18-24,6,Post-Update
328,2024-03-10,Android,Organic,Tier-3,25-34,3,Pre-Update
329,2024-03-03,iOS,YouTube,Tier-3,18-24,3,Pre-Update
330,2024-01-03,iOS,YouTube,Tier-1,25-34,1,Pre-Update
331,2024-05-07,iOS,Instagram,Tier-3,25-34,5,Post-Update
332,2024-03-29,Android,Organic,Tier-3,25-34,3,Post-Update
333,2024-04-29,Android,YouTube,Tier-1,25-34,4,Post-Update
334,2024-05-12,iOS,Instagram,Tier-3,18-24,5,Post-Update
335,2024-05-07,Web,Instagram,Tier-3,45+,5,Post-Update
336,2024-01-13,Android,Google Ads,Tier-3,35-44,1,Pre-Update
337,2024-05-29,Web,Instagram,Tier-1,18-24,5,Post-Update
338,2024-06-04,Web,Google Ads,Tier-2,35-44,6,Post-Update
339,2024-02-18,Web,Organic,Tier-1,18-24,2,Pre-Update
340,2024-01-31,Web,Organic,Tier-2,45+,1,Pre-Update
341,2024-01-14,Web,Google Ads,Tier-2,25-34,1,Pre-Update
342,2024-02-04,iOS,YouTube,Tier-2,18-24,2,Pre-Update
343,2024-03-27,Android,YouTube,Tier-1,25-34,3,Post-Update
344,2024-03-05,iOS,Google Ads,Tier-2,18-24,3,Pre-Update
345,2024-01-04,Android,Google Ads,Tier-3,18-24,1,Pre-Update
346,2024-05-19,iOS,Google Ads,Tier-1,35-44,5,Post-Update
347,2024-01-29,iOS,Organic,Tier-2,18-24,1,Pre-Update
348,2024-06-19,Android,Organic,Tier-2,35-44,6,Post-Update
349,2024-05-03,Web,Organic,Tier-2,45+,5,Post-Update
350,2024-04-16,Web,Google Ads,Tier-2,18-24,4,Post-Update
351,2024-02-24,iOS,Instagram,Tier-3,45+,2,Pre-Update
352,2024-01-16,Android,YouTube,Tier-2,25-34,1,Pre-Update
353,2024-02-05,Android,Organic,Tier-1,25-34,2,Pre-Update
354,2024-06-07,Android,Instagram,Tier-2,45+,6,Post-Update
355,2024-06-17,iOS,YouTube,Tier-1,18-24,6,Post-Update
356,2024-06-13,Web,Google Ads,Tier-1,45+,6,Post-Update
357,2024-05-17,Web,Instagram,Tier-2,35-44,5,Post-Update
358,2024-01-09,Web,Organic,Tier-3,18-24,1,Pre-Update
359,2024-05-12,iOS,Google Ads,Tier-3,18-24,5,Post-Update
360,2024-05-24,Android,YouTube,Tier-3,25-34,5,Post-Update
361,2024-05-02,Web,Instagram,Tier-3,35-44,5,Post-Update
362,2024-03-19,Android,Google Ads,Tier-1,25-34,3,Post-Update
363,2024-01-01,iOS,Organic,Tier-1,45+,1,Pre-Update
364,2024-05-21,Android,YouTube,Tier-3,35-44,5,Post-Update
365,2024-01-22,Android,Organic,Tier-3,45+,1,Pre-Update
366,2024-02-27,Web,Google Ads,Tier-2,25-34,2,Pre-Update
367,2024-02-02,Web,Organic,Tier-3,25-34,2,Pre-Update
368,2024-04-24,Web,Organic,Tier-2,35-44,4,Post-Update
369,2024-01-25,Web,Google Ads,Tier-3,25-34,1,Pre-Update
370,2024-03-17,iOS,YouTube,Tier-1,25-34,3,Post-Update
371,2024-03-05,iOS,Organic,Tier-1,25-34,3,Pre-Update
372,2024-05-06,Android,Instagram,Tier-2,35-44,5,Post-Update
373,2024-06-25,iOS,Google Ads,Tier-1,35-44,6,Post-Update
374,2024-02-26,iOS,Instagram,Tier-1,18-24,2,Pre-Update
375,2024-05-04,iOS,Instagram,Tier-3,45+,5,Post-Update
376,2024-05-04,iOS,YouTube,Tier-1,25-34,5,Post-Update
377,2024-02-28,Android,Instagram,Tier-2,18-24,2,Pre-Update
378,2024-06-07,Web,Instagram,Tier-2,35-44,6,Post-Update
379,2024-02-17,Android,Organic,Tier-1,25-34,2,Pre-Update
380,2024-06-18,iOS,Google Ads,Tier-1,18-24,6,Post-Update
381,2024-03-04,Web,Google Ads,Tier-3,45+,3,Pre-Update
382,2024-05-13,Android,Google Ads,Tier-3,35-44,5,Post-Update
383,2024-06-10,iOS,YouTube,Tier-2,45+,6,Post-Update
384,2024-03-27,iOS,Instagram,Tier-1,18-24,3,Post-Update
385,2024-03-21,Android,YouTube,Tier-3,25-34,3,Post-Update
386,2024-04-20,Web,Google Ads,Tier-3,25-34,4,Post-Update
387,2024-02-06,Android,Google Ads,Tier-3,45+,2,Pre-Update
388,2024-06-28,Android,Instagram,Tier-1,25-34,6,Post-Update
389,2024-04-03,Web,Google Ads,Tier-2,18-24,4,Post-Update
390,2024-01-26,iOS,Google Ads,Tier-2,25-34,1,Pre-Update
